initiative_key,initiative_name,start_date,end_date,coverage_percentage
74,Initiative 74,2015-05-12,2025-11-14,67.8030432359943
75,Initiative 75,2023-01-17,2028-09-25,85.71358971788479
76,Initiative 76,2018-04-20,2029-05-22,70.27327904921941
77,Initiative 77,2021-09-21,2028-06-27,87.97883406704213
78,Initiative 78,2020-11-02,2029-09-28,82.02015691241837
79,Initiative 79,2022-10-28,2029-08-27,68.05495910544587
80,Initiative 80,2020-01-17,2028-09-25,71.61203908036153
81,Initiative 81,2015-12-16,2027-05-26,85.18113560292517
82,Initiative 82,2019-08-21,2027-03-02,76.7377706589115
83,Initiative 83,2024-06-27,2026-10-09,93.41700807136934
84,Initiative 84,2023-02-14,2028-06-27,96.65917092383836
85,Initiative 85,2017-09-03,2027-03-02,85.88536630191713
86,Initiative 86,2022-04-14,2028-08-20,99.46035599111396
87,Initiative 87,2015-06-26,2029-06-12,79.82683937096675
88,Initiative 88,2024-06-27,2026-03-05,51.99153951553537
89,Initiative 89,2020-06-06,2026-10-09,75.24260280635818
90,Initiative 90,2019-03-17,2028-06-05,61.500463969292944
91,Initiative 91,2023-05-11,2026-01-03,66.68565901921544
92,Initiative 92,2017-09-03,2026-12-08,74.50350260741016
93,Initiative 93,2023-03-18,2029-08-02,64.75254022054158
94,Initiative 94,2019-10-01,2028-09-25,65.4810819382585
95,Initiative 95,2024-09-21,2028-11-10,70.10081682050911
96,Initiative 96,2019-04-30,2027-10-27,64.32286738781553
97,Initiative 97,2022-10-28,2028-07-20,58.47504975906237
98,Initiative 98,2019-03-21,2025-03-26,88.27801312856562
99,Initiative 99,2021-01-23,2026-05-17,69.76058811869221
100,Initiative 100,2016-02-02,2027-05-26,91.587865024498
101,Initiative 101,2018-03-02,2029-05-04,94.13584947573142
102,Initiative 102,2018-09-03,2029-06-12,87.548174307591
103,Initiative 103,2018-08-25,2028-08-20,69.83365810209172
104,Initiative 104,2019-03-21,2026-06-05,86.06610565107373
105,Initiative 105,2018-01-28,2025-12-05,57.761025218928644
106,Initiative 106,2015-10-18,2028-05-15,83.05578795777762
107,Initiative 107,2021-09-21,2028-05-15,70.30160319769305
108,Initiative 108,2022-09-09,2026-08-20,82.78222074958623
109,Initiative 109,2021-03-24,2029-06-12,87.73952960708615
110,Initiative 110,2021-09-23,2028-01-26,78.13432440166508
111,Initiative 111,2023-02-14,2029-07-08,82.12392965274469
112,Initiative 112,2019-04-30,2026-10-21,60.6763965702629
113,Initiative 113,2024-09-21,2029-07-08,79.63497773546659
114,Initiative 114,2015-11-20,2028-07-20,73.02371443976246
115,Initiative 115,2022-10-28,2027-08-14,71.40264297786037
116,Initiative 116,2016-04-01,2029-09-28,70.51578771856472
117,Initiative 117,2019-10-01,2027-08-13,65.54620139929344
118,Initiative 118,2015-11-26,2027-03-09,65.26673311932143
119,Initiative 119,2021-10-03,2027-10-21,84.98532139752686
120,Initiative 120,2021-03-24,2027-01-16,77.88998779178222
121,Initiative 121,2024-09-21,2026-01-03,51.497605368183216
122,Initiative 122,2022-10-25,2029-05-02,52.426261503943486
123,Initiative 123,2017-09-03,2028-01-08,78.50595005241134
124,Initiative 124,2015-07-31,2029-11-20,92.314173940258
125,Initiative 125,2015-06-11,2029-11-11,52.19889056044782
126,Initiative 126,2019-11-30,2026-03-05,75.36034670550568
127,Initiative 127,2016-04-11,2027-11-28,92.55676877528512
128,Initiative 128,2022-02-17,2026-10-09,50.222398904941464
129,Initiative 129,2020-11-05,2029-05-21,63.78969538009031
130,Initiative 130,2019-03-17,2027-01-16,95.99601091730204
131,Initiative 131,2015-06-26,2025-03-26,54.073481169578564
132,Initiative 132,2016-12-21,2026-01-03,80.34982387497432
133,Initiative 133,2016-10-22,2028-04-24,75.36908332996634
134,Initiative 134,2015-03-01,2025-03-05,57.58396815744391
135,Initiative 135,2021-10-03,2026-05-28,52.124350499307255
136,Initiative 136,2023-04-16,2026-12-21,75.12935508722502
137,Initiative 137,2022-10-25,2029-06-07,86.75650944945298
138,Initiative 138,2017-04-19,2026-05-17,58.862138866228875
139,Initiative 139,2021-03-24,2026-12-21,84.56599144101949
140,Initiative 140,2020-05-03,2025-12-05,77.31916558760487
141,Initiative 141,2024-04-16,2029-01-22,67.89232127953666
142,Initiative 142,2018-07-11,2025-10-22,83.22152481125764
143,Initiative 143,2023-02-14,2026-08-20,59.598838879191206
144,Initiative 144,2022-10-25,2029-03-01,72.84656604757308
145,Initiative 145,2023-05-11,2026-12-21,77.465249078245
146,Initiative 146,2024-07-20,2026-09-22,72.93477701327784
147,Initiative 147,2020-05-03,2029-06-30,69.87506884285843
148,Initiative 148,2015-03-15,2029-09-01,87.04568197841184
149,Initiative 149,2022-09-09,2029-11-14,82.80504832611749
150,Initiative 150,2021-08-14,2029-11-14,81.97310426807086
151,Initiative 151,2019-08-21,2026-06-05,94.59003224567812
152,Initiative 152,2017-04-19,2026-07-23,99.67503286773987
153,Initiative 153,2015-03-15,2027-10-21,78.36022666101039
154,Initiative 154,2019-10-01,2025-04-15,67.4133938847355
155,Initiative 155,2018-08-25,2025-01-05,88.94376745909074
156,Initiative 156,2019-04-30,2028-09-25,57.10495313914164
157,Initiative 157,2015-03-15,2025-11-07,75.64545855220896
158,Initiative 158,2023-04-16,2027-03-09,76.22542409773197
159,Initiative 159,2019-06-15,2027-03-26,99.17339337648264
160,Initiative 160,2015-11-26,2029-05-16,99.55034074933573
161,Initiative 161,2015-06-20,2025-04-01,89.96070691404432
162,Initiative 162,2020-11-02,2027-05-26,73.65078438927898
163,Initiative 163,2016-10-22,2029-07-31,77.36128949873918
164,Initiative 164,2015-11-26,2027-05-26,65.98708157592122
165,Initiative 165,2022-02-17,2026-01-29,91.4922851838907
166,Initiative 166,2023-05-11,2026-03-05,87.3273096917853
167,Initiative 167,2015-03-15,2027-10-21,88.57126439120614
168,Initiative 168,2015-07-31,2025-01-06,56.933816907755094
169,Initiative 169,2023-08-01,2027-10-27,69.93169856551705
170,Initiative 170,2015-06-11,2028-08-12,76.86758452109721
171,Initiative 171,2021-03-24,2029-03-01,56.23289843283945
172,Initiative 172,2020-05-03,2026-12-08,68.43115131917965
173,Initiative 173,2018-09-03,2026-10-09,54.37162612071052
174,Initiative 174,2023-11-13,2027-01-16,97.94206136374653
175,Initiative 175,2023-10-21,2028-01-26,87.56316647880121
176,Initiative 176,2021-09-21,2029-06-30,81.03740604923809
177,Initiative 177,2021-08-14,2028-12-14,60.242821676347376
178,Initiative 178,2015-06-01,2028-12-14,66.70637185887372
179,Initiative 179,2017-09-03,2026-06-05,57.22424509566799
180,Initiative 180,2020-11-13,2029-05-22,76.80598134805021
181,Initiative 181,2021-05-22,2027-08-14,91.02579948940672
182,Initiative 182,2017-07-31,2028-01-01,50.951826084490584
183,Initiative 183,2020-11-13,2026-03-07,55.16543348486725
184,Initiative 184,2016-02-24,2026-10-09,61.46748869705567
185,Initiative 185,2015-11-26,2027-07-17,85.7033371579544
186,Initiative 186,2021-06-02,2028-05-15,94.69899193846737
187,Initiative 187,2015-11-20,2029-07-08,87.65061683872457
188,Initiative 188,2015-11-20,2029-02-23,76.24737750854473
189,Initiative 189,2021-01-23,2029-10-03,55.255618205713525
190,Initiative 190,2023-05-11,2029-05-04,87.74571871782436
191,Initiative 191,2016-04-01,2029-03-09,55.281987018694004
192,Initiative 192,2021-01-23,2027-07-17,67.38449275446963
193,Initiative 193,2016-10-22,2029-11-20,65.39957557493203
194,Initiative 194,2015-12-31,2026-05-28,67.96117316958033
195,Initiative 195,2021-10-03,2026-08-11,66.47645217003468
196,Initiative 196,2020-06-06,2029-06-12,88.4589858358355
197,Initiative 197,2021-03-24,2025-01-06,58.58618669808594
198,Initiative 198,2023-01-17,2027-10-27,92.29230250536793
199,Initiative 199,2020-11-05,2026-08-20,92.91301237388687
200,Initiative 200,2015-10-18,2026-08-11,74.54629114113554
201,Initiative 201,2023-08-01,2025-04-15,55.30743742446287
202,Initiative 202,2023-11-13,2027-03-26,78.77036195078212
203,Initiative 203,2015-07-31,2027-08-13,91.04656858995872
204,Initiative 204,2020-01-17,2028-06-27,64.47367596121758
205,Initiative 205,2022-03-11,2026-08-11,91.88737120982444
206,Initiative 206,2016-02-24,2029-01-22,83.8459426357339
207,Initiative 207,2023-11-13,2026-11-29,99.36232203714178
208,Initiative 208,2019-10-01,2027-05-26,91.23556817443328
209,Initiative 209,2015-05-12,2026-10-21,60.075023204649234
210,Initiative 210,2021-10-26,2029-06-12,72.45020298037544
211,Initiative 211,2016-10-22,2029-07-31,55.175423240130414
212,Initiative 212,2018-05-03,2029-06-07,53.48352834066121
213,Initiative 213,2023-05-11,2028-05-15,85.3027120435586
214,Initiative 214,2021-10-03,2029-08-27,95.64659023870053
215,Initiative 215,2021-01-23,2027-04-22,98.67877583376259
216,Initiative 216,2018-09-03,2029-01-22,63.523317711443326
217,Initiative 217,2015-06-26,2028-06-05,60.08856709296628
218,Initiative 218,2024-06-27,2027-10-27,78.0109943530615
219,Initiative 219,2015-05-11,2026-03-17,60.0430036540079
220,Initiative 220,2020-11-02,2027-03-02,64.79535450341093
221,Initiative 221,2021-06-02,2028-04-24,91.86131650392225
222,Initiative 222,2024-09-21,2029-02-17,90.52314282383531
223,Initiative 223,2019-02-23,2029-03-09,94.75366375017714
224,Initiative 224,2020-11-05,2029-08-18,74.1121757464232
225,Initiative 225,2018-01-28,2028-05-17,78.20428668467319
226,Initiative 226,2017-09-03,2026-08-20,88.529475408135
227,Initiative 227,2017-07-22,2028-11-10,61.963276655979946
228,Initiative 228,2022-03-11,2026-12-22,91.15467956413187
229,Initiative 229,2021-06-02,2025-12-05,50.87787399144776
230,Initiative 230,2022-02-17,2029-07-31,89.88299444059137
231,Initiative 231,2016-04-01,2027-04-22,88.79539739262535
232,Initiative 232,2015-06-11,2028-08-20,65.08899749212966
233,Initiative 233,2015-07-01,2027-03-09,86.3956179080549
234,Initiative 234,2024-04-16,2025-11-14,60.69968070815263
235,Initiative 235,2018-07-11,2026-03-05,78.81163188269392
236,Initiative 236,2016-04-11,2026-08-20,85.0293387458166
237,Initiative 237,2018-08-25,2029-05-21,85.73494412012823
238,Initiative 238,2023-05-29,2029-05-22,99.14675675111799
239,Initiative 239,2023-08-01,2026-06-05,59.10028309228319
240,Initiative 240,2021-01-23,2026-10-19,74.0399314445279
241,Initiative 241,2016-04-10,2027-08-30,94.005227211958
242,Initiative 242,2022-04-14,2029-05-22,78.07563030350003
243,Initiative 243,2018-05-03,2025-03-05,93.81945127120451
244,Initiative 244,2023-03-18,2028-05-05,71.70293886961176
245,Initiative 245,2020-05-03,2029-06-07,89.76757105635747
246,Initiative 246,2018-08-25,2027-09-26,93.5024649506766
247,Initiative 247,2020-01-30,2029-05-21,92.32196848553062
248,Initiative 248,2016-12-21,2028-06-05,93.56825222785909
249,Initiative 249,2023-06-08,2029-05-04,60.977734830361676
250,Initiative 250,2023-07-17,2028-09-14,71.94920653076531
251,Initiative 251,2015-06-03,2025-12-11,58.72859355292299
252,Initiative 252,2018-06-21,2027-10-21,59.0270588721312
253,Initiative 253,2018-09-03,2025-09-21,74.39136539256067
254,Initiative 254,2023-05-12,2025-11-14,98.00438773546273
255,Initiative 255,2020-05-20,2027-05-26,79.59556531505567
256,Initiative 256,2023-05-26,2026-05-17,92.6922548291986
257,Initiative 257,2018-04-20,2028-02-25,96.8591997261367
258,Initiative 258,2022-04-14,2027-08-14,54.328767943203566
259,Initiative 259,2018-01-28,2026-05-28,58.1031995089774
260,Initiative 260,2023-05-11,2027-03-09,64.54208900890282
261,Initiative 261,2016-12-05,2025-10-22,80.8388533996486
262,Initiative 262,2023-08-01,2025-11-07,53.08646092480457
263,Initiative 263,2021-09-21,2025-11-14,89.3327254929734
264,Initiative 264,2024-04-16,2025-03-26,53.18943584613194
265,Initiative 265,2019-08-21,2029-03-09,57.92159037823923
266,Initiative 266,2016-07-19,2027-03-09,69.0853932085094
267,Initiative 267,2023-05-26,2026-01-29,77.88599283240137
268,Initiative 268,2016-12-05,2029-08-18,94.0752336970167
269,Initiative 269,2023-02-14,2026-10-21,98.1864889298731
270,Initiative 270,2019-02-23,2026-01-29,94.23210620224044
271,Initiative 271,2022-10-13,2025-01-05,55.35223288424599
272,Initiative 272,2017-07-22,2027-03-09,81.56147426273199
273,Initiative 273,2018-05-03,2029-11-14,72.08572860600374
274,Initiative 274,2015-06-11,2026-03-07,56.28961090556281
275,Initiative 275,2016-02-24,2028-07-21,77.75561856262676
276,Initiative 276,2017-04-19,2025-11-14,67.8329152792714
277,Initiative 277,2019-04-30,2029-07-31,67.28939196481754
278,Initiative 278,2021-06-02,2029-06-30,54.722255935560284
279,Initiative 279,2021-03-24,2029-05-16,98.94264828353573
280,Initiative 280,2015-10-18,2028-01-01,86.297995011191
281,Initiative 281,2019-11-30,2028-05-05,64.01671056702095
282,Initiative 282,2019-08-09,2026-07-23,95.87375786187508
283,Initiative 283,2023-10-21,2028-08-12,97.40435981651046
284,Initiative 284,2015-06-03,2025-04-01,90.51874216583465
285,Initiative 285,2018-09-03,2028-09-14,82.9657582055643
286,Initiative 286,2023-05-11,2027-09-26,68.81883098612943
287,Initiative 287,2021-06-02,2029-09-01,71.71732538753865
288,Initiative 288,2018-06-21,2027-11-05,72.75056267171848
289,Initiative 289,2022-10-25,2029-01-22,97.43813275255167
290,Initiative 290,2024-07-20,2029-05-21,88.0067302347946
291,Initiative 291,2015-07-01,2028-09-14,64.60071516684769
292,Initiative 292,2015-11-20,2029-07-31,81.23202934773852
293,Initiative 293,2020-01-17,2026-12-22,79.69502683576536
294,Initiative 294,2022-04-14,2025-03-05,90.60634996530939
295,Initiative 295,2021-06-02,2027-10-27,54.76541979912775
296,Initiative 296,2021-09-21,2027-06-19,85.06357957589161
297,Initiative 297,2015-12-24,2029-08-18,66.55849201626177
298,Initiative 298,2016-10-22,2028-04-24,56.48160203561945
299,Initiative 299,2022-04-14,2029-09-01,86.58866655382926
300,Initiative 300,2016-02-24,2029-08-02,66.58230119342099
301,Initiative 301,2023-07-17,2028-01-08,86.50618718353451
302,Initiative 302,2023-08-01,2027-03-02,58.12184750304914
303,Initiative 303,2015-05-11,2025-10-22,99.29639122385203
304,Initiative 304,2021-09-23,2027-08-14,90.1704007840217
305,Initiative 305,2015-06-26,2029-05-04,64.45758929981503
306,Initiative 306,2015-03-01,2029-05-04,87.02621270309531
307,Initiative 307,2015-11-20,2029-09-01,56.78999378798267
308,Initiative 308,2015-12-16,2029-08-18,82.67187260843855
309,Initiative 309,2018-07-11,2029-03-09,52.981843235199214
310,Initiative 310,2021-10-03,2029-03-09,66.66937298834756
311,Initiative 311,2020-06-06,2026-08-11,98.92312726609433
312,Initiative 312,2016-06-01,2028-08-20,56.04601871040613
313,Initiative 313,2024-09-21,2029-05-22,79.87120162204943
314,Initiative 314,2016-11-16,2026-12-08,53.53026929829636
315,Initiative 315,2023-08-01,2029-09-28,83.47006057646811
316,Initiative 316,2015-06-01,2025-04-15,63.9331076480273
317,Initiative 317,2019-03-17,2029-08-18,65.49878007287974
318,Initiative 318,2021-08-14,2029-06-07,66.8901267647609
319,Initiative 319,2020-05-03,2025-04-19,60.25784073128046
320,Initiative 320,2024-11-01,2027-01-07,97.0828692535499
321,Initiative 321,2022-09-09,2026-10-09,95.2915921197675
322,Initiative 322,2020-06-06,2025-12-05,93.50076149919454
323,Initiative 323,2022-09-09,2028-05-17,55.3222773373394
324,Initiative 324,2016-07-19,2026-05-17,61.672241925337715
325,Initiative 325,2019-10-01,2029-11-20,80.61129296558796
326,Initiative 326,2021-08-14,2029-11-20,98.51855006949138
327,Initiative 327,2024-09-21,2026-06-05,80.2408691152342
328,Initiative 328,2019-04-30,2027-02-22,66.3550880837418
329,Initiative 329,2016-11-16,2028-02-25,90.87020556150652
330,Initiative 330,2021-05-22,2025-01-06,56.77152749497832
331,Initiative 331,2021-01-23,2028-08-20,94.08709417273238
332,Initiative 332,2018-09-03,2029-05-22,98.73383950597646
333,Initiative 333,2018-08-25,2029-03-01,98.38263269748563
334,Initiative 334,2016-04-11,2025-12-11,57.384828170789774
335,Initiative 335,2022-10-13,2025-11-07,77.48037534147997
336,Initiative 336,2015-06-26,2028-07-21,79.24595148224213
337,Initiative 337,2021-09-21,2027-02-22,59.74592952101396
338,Initiative 338,2020-05-20,2025-11-14,77.3388673613438
339,Initiative 339,2019-03-09,2027-11-28,82.32687869865367
340,Initiative 340,2016-02-24,2029-06-07,66.44808723735296
341,Initiative 341,2022-10-13,2027-03-26,65.7840383251475
342,Initiative 342,2019-08-21,2027-04-19,53.01192498889902
343,Initiative 343,2015-06-11,2027-05-26,97.84127799622021
344,Initiative 344,2021-09-05,2027-10-21,90.18079640044812
345,Initiative 345,2015-11-26,2026-03-07,87.97245654522328
346,Initiative 346,2022-10-25,2028-06-05,51.08894599709255
347,Initiative 347,2015-06-20,2026-07-23,81.2154552296049
348,Initiative 348,2015-07-31,2025-04-19,59.03142677289549
349,Initiative 349,2020-06-06,2029-06-12,83.08587656526484
350,Initiative 350,2016-02-24,2025-11-14,81.05777454877128
351,Initiative 351,2020-05-03,2027-03-02,92.59626788319557
352,Initiative 352,2018-06-22,2027-09-26,62.77170476574005
353,Initiative 353,2018-05-03,2026-08-20,51.373088947712624
354,Initiative 354,2024-06-27,2026-05-17,95.70554396879626
355,Initiative 355,2023-03-18,2025-11-07,95.43180142399096
356,Initiative 356,2022-10-25,2027-01-16,72.79297705243798
357,Initiative 357,2018-10-25,2028-11-10,53.904402946356186
358,Initiative 358,2024-09-21,2025-11-14,74.89844944172424
359,Initiative 359,2020-11-05,2025-12-05,76.20071103883899
360,Initiative 360,2020-05-20,2026-01-03,91.08627358866562
361,Initiative 361,2019-03-09,2025-12-11,85.85507221830977
362,Initiative 362,2020-01-30,2029-03-01,53.54022879642951
363,Initiative 363,2023-05-11,2029-07-08,85.26688054600687
364,Initiative 364,2017-07-31,2029-05-22,56.786973426564344
365,Initiative 365,2023-05-26,2028-05-17,54.47360135247437
366,Initiative 366,2023-05-26,2028-08-12,69.93035657174443
367,Initiative 367,2021-01-23,2028-09-14,53.86818034170878
368,Initiative 368,2015-11-20,2028-06-27,91.46344968924986
369,Initiative 369,2015-05-11,2027-07-17,73.15645925033411
370,Initiative 370,2023-08-01,2028-12-14,79.3501877831059
371,Initiative 371,2021-10-26,2025-12-05,78.84322617521066
372,Initiative 372,2019-03-09,2027-01-16,98.90548931749791
373,Initiative 373,2019-03-21,2026-10-19,95.78912534731529
374,Initiative 374,2023-07-17,2026-09-22,92.45640293926841
375,Initiative 375,2015-03-15,2025-01-05,69.16346134565674
376,Initiative 376,2018-05-03,2029-02-17,57.254985025249205
377,Initiative 377,2023-01-17,2029-11-20,79.59335012535377
378,Initiative 378,2020-11-02,2026-01-03,72.01580375550331
379,Initiative 379,2021-01-23,2029-08-18,61.27633262063132
380,Initiative 380,2016-07-19,2028-01-01,54.88460576305589
381,Initiative 381,2021-01-23,2027-05-26,71.8046648663696
382,Initiative 382,2016-02-02,2027-11-05,82.54338601607236
383,Initiative 383,2020-05-03,2027-05-26,81.26949068686172
384,Initiative 384,2018-05-03,2029-11-20,88.69607199105451
385,Initiative 385,2023-05-26,2028-07-20,73.32773134621792
386,Initiative 386,2015-10-18,2029-07-31,66.08197876302724
387,Initiative 387,2015-05-11,2027-04-22,76.9350208515999
388,Initiative 388,2020-01-17,2028-06-05,98.75030298846994
389,Initiative 389,2016-07-16,2025-03-26,52.25452690231586
390,Initiative 390,2024-06-27,2028-12-14,76.43329016159717
391,Initiative 391,2020-05-03,2028-12-14,66.4632251187851
392,Initiative 392,2023-01-17,2029-08-27,55.26751194611806
393,Initiative 393,2023-05-29,2029-07-31,71.73352829820556
394,Initiative 394,2019-03-17,2025-03-05,82.05820649914332
395,Initiative 395,2023-03-18,2027-01-07,76.40827836219081
396,Initiative 396,2017-07-31,2027-08-13,51.4588235132195
397,Initiative 397,2023-01-17,2029-05-22,78.95587322442007
398,Initiative 398,2018-09-03,2029-07-31,61.60012919003554
399,Initiative 399,2015-06-20,2029-09-01,67.07382775204906
400,Initiative 400,2021-05-22,2025-03-05,65.61023716295644
401,Initiative 401,2016-07-16,2025-12-05,92.92566538874178
402,Initiative 402,2018-07-11,2026-12-22,52.37865088181772
403,Initiative 403,2024-11-01,2025-11-14,67.39983760118463
404,Initiative 404,2023-11-13,2027-02-22,69.74081684309007
405,Initiative 405,2021-01-23,2029-05-21,80.9417131741846
406,Initiative 406,2023-07-17,2026-05-28,89.44824242398204
407,Initiative 407,2024-09-21,2026-05-28,86.38325688324869
408,Initiative 408,2020-11-02,2027-11-05,87.63110516458099
409,Initiative 409,2015-11-20,2029-08-18,59.61935081517262
410,Initiative 410,2021-10-26,2028-08-12,95.58686368726407
411,Initiative 411,2015-05-12,2027-10-21,70.70743397305048
412,Initiative 412,2015-03-01,2026-01-29,50.55545154753441
413,Initiative 413,2019-11-30,2029-11-20,83.40480910424313
414,Initiative 414,2024-06-27,2028-01-08,80.20013995222575
415,Initiative 415,2015-06-01,2029-11-20,56.29788175445897
416,Initiative 416,2023-05-12,2027-02-22,97.99338027046694
417,Initiative 417,2018-06-21,2028-06-20,78.07822154063575
418,Initiative 418,2017-07-31,2027-11-05,73.46319931544932
419,Initiative 419,2017-04-19,2027-10-21,69.9061111018704
420,Initiative 420,2022-02-17,2025-01-06,60.49256891968082
421,Initiative 421,2017-04-19,2027-01-07,97.64064046059761
422,Initiative 422,2015-02-14,2027-06-19,85.10793195378349
423,Initiative 423,2019-04-30,2028-01-08,78.38018744626336
424,Initiative 424,2023-03-18,2029-05-22,81.56001008983695
425,Initiative 425,2016-02-24,2027-03-26,92.02102292261313
426,Initiative 426,2024-07-20,2026-12-22,81.78601404907381
427,Initiative 427,2015-06-11,2029-10-03,55.72953644856868
428,Initiative 428,2023-10-21,2025-04-19,84.86475794124593
429,Initiative 429,2015-12-24,2028-11-10,78.24346879463846
430,Initiative 430,2016-07-16,2028-06-20,98.31720538311862
431,Initiative 431,2022-09-09,2026-01-29,86.6859607336412
432,Initiative 432,2023-03-18,2028-04-24,67.20014579901309
433,Initiative 433,2018-10-25,2028-01-08,56.769892570388805
434,Initiative 434,2022-02-17,2028-06-27,74.11402962347044
435,Initiative 435,2015-12-24,2025-04-01,83.96771404058914
436,Initiative 436,2015-05-11,2029-01-22,58.8637758953462
437,Initiative 437,2015-03-01,2029-07-31,82.47221371442583
438,Initiative 438,2021-09-05,2029-08-02,91.28058790064529
439,Initiative 439,2015-12-24,2029-10-03,57.852508919229216
440,Initiative 440,2024-09-21,2027-11-28,85.28928518038421
441,Initiative 441,2020-01-30,2026-12-08,53.41288167999074
442,Initiative 442,2021-09-21,2029-06-30,50.39750414433668
443,Initiative 443,2024-07-20,2025-11-14,51.63173431640328
444,Initiative 444,2023-10-21,2025-11-07,81.57522888215955
445,Initiative 445,2021-08-14,2029-05-22,98.66810263420938
446,Initiative 446,2016-07-19,2029-06-12,88.56861260698763
447,Initiative 447,2016-04-01,2029-07-31,62.72046300202487
448,Initiative 448,2020-11-13,2027-11-05,53.5844343250424
449,Initiative 449,2021-10-03,2029-08-02,80.83270644964905
450,Initiative 450,2023-10-21,2025-03-26,50.16144425761256
