location_key,district,region,population_density,terrain_type,distance_to_nearest_health_center,regional_health_policy
283,Jacquelineland,Northwest,779,Mountainous,25.11284515348979,Policy C
284,Port Jesseville,Adamawa,721,Hilly,47.54019717994097,Policy C
285,Ramirezstad,Southwest,759,Flat,15.346955245004148,Policy A
286,Ramirezstad,Northwest,465,Mountainous,1.4488104324864,Policy A
287,Robinsonshire,Southwest,296,Hilly,21.88347388744032,Policy B
288,East Jill,North,885,Flat,2.134090827066199,Policy C
289,Ramirezstad,Adamawa,488,Mountainous,47.719869250057236,Policy A
290,New Roberttown,Northwest,252,Hilly,10.89094326452855,Policy B
291,Robinsonshire,Far North,233,Hilly,39.55188768546954,Policy C
292,New Roberttown,Littoral,172,Hilly,38.84131811713106,Policy C
293,New Jessica,Adamawa,450,Mountainous,11.277580534305208,Policy B
294,New Roberttown,Adamawa,816,Mountainous,31.250713258768283,Policy C
295,Lake Roberto,Far North,343,Flat,2.8799089400792854,Policy C
296,New Kellystad,Northwest,329,Hilly,24.43694199234144,Policy B
297,East Jessetown,Far North,886,Hilly,1.2250327999880934,Policy A
298,Jacquelineland,East,933,Mountainous,46.09662206895167,Policy B
299,Lake Roberto,Littoral,659,Mountainous,48.816258197878795,Policy B
300,Jacquelineland,Adamawa,247,Flat,11.50299694860997,Policy A
301,New Jessica,Far North,956,Flat,10.801248712520453,Policy C
302,East Jill,Northwest,560,Mountainous,37.80914873982542,Policy B
303,New Jessica,Southwest,801,Mountainous,13.042280242052056,Policy B
304,New Roberttown,Littoral,193,Hilly,44.80628967851133,Policy B
305,Lake Chad,Adamawa,658,Hilly,28.909492238087623,Policy C
306,Jacquelineland,Southwest,250,Flat,17.86349233901045,Policy C
307,Jacquelineland,North,173,Hilly,41.718340444296295,Policy A
308,Ramirezstad,Northwest,236,Flat,24.923631670463063,Policy B
309,Cassandraton,Far North,375,Hilly,45.625829228569536,Policy B
310,Ericmouth,Northwest,513,Hilly,46.43670471810436,Policy B
311,Lisatown,North,398,Hilly,8.688297530356262,Policy A
312,Cassandraton,Far North,820,Hilly,0.6150086035305484,Policy A
313,Lake Roberto,Far North,709,Flat,49.20458153704891,Policy C
314,Ericmouth,Center,813,Flat,45.35380803831023,Policy C
315,New Kellystad,Southwest,981,Hilly,3.24453916734015,Policy B
316,Lake Debra,Littoral,452,Mountainous,41.73519606508296,Policy A
317,North Noahstad,Adamawa,395,Flat,23.161344161680727,Policy C
318,Port Keith,Littoral,560,Flat,13.318599448736274,Policy B
319,Cassandraton,Littoral,196,Hilly,43.997952922008025,Policy A
320,New Roberttown,Far North,197,Flat,10.23502800332021,Policy B
321,North Judithbury,Littoral,913,Hilly,47.391349971293316,Policy C
322,Port Keith,North,760,Hilly,10.678263641117383,Policy C
323,New Jessica,Littoral,869,Mountainous,30.877317792572804,Policy C
324,Jacquelineland,North,538,Flat,11.542773559184255,Policy A
325,East Jessetown,North,978,Flat,27.51059891594742,Policy B
326,New Roberttown,Adamawa,985,Mountainous,34.3567689307995,Policy B
327,West Michael,Northwest,689,Flat,9.91628257559681,Policy A
328,Lisatown,Southwest,600,Flat,26.28384624368362,Policy B
329,Ramirezstad,Adamawa,387,Mountainous,23.71845734731089,Policy A
330,Ericmouth,Center,921,Hilly,4.016352359465391,Policy A
331,Lake Debra,Littoral,690,Mountainous,41.006236974927496,Policy B
332,Herrerafurt,Far North,828,Mountainous,17.116278831820665,Policy A
333,New Roberttown,Southwest,522,Flat,28.94181877881804,Policy C
334,Lake Roberto,Far North,995,Flat,25.981819629190152,Policy A
335,Herrerafurt,Littoral,200,Mountainous,25.906394976236893,Policy C
336,North Noahstad,Littoral,464,Hilly,5.807508513320129,Policy B
337,Robinsonshire,Northwest,347,Flat,21.462359457841973,Policy C
338,Port Keith,Adamawa,660,Flat,22.892154580725226,Policy B
339,West Michael,East,312,Hilly,36.8153205980402,Policy B
340,North Noahstad,Littoral,813,Hilly,42.080932180074576,Policy C
341,New Jessica,North,193,Flat,27.47662276595089,Policy A
342,Ramirezstad,Adamawa,395,Flat,4.795756226217029,Policy B
343,North Judithbury,Adamawa,673,Flat,12.22404879452904,Policy B
344,West Michael,Littoral,621,Mountainous,8.664234329210188,Policy C
345,North Noahstad,Center,930,Hilly,6.668445627861675,Policy A
346,East Jessetown,Northwest,51,Hilly,18.612015281581474,Policy C
347,Lake Debra,North,946,Mountainous,11.854978356641912,Policy B
348,Ericmouth,Far North,353,Mountainous,11.306004034669858,Policy A
349,East Jessetown,Northwest,303,Mountainous,3.207312141525249,Policy C
350,East Jessetown,North,701,Hilly,1.3746672173739771,Policy C
351,West Michael,Far North,502,Flat,5.587028011164199,Policy B
352,Lake Debra,East,86,Hilly,9.023775231469836,Policy C
353,Ericmouth,Northwest,209,Flat,21.833694577986055,Policy A
354,North Noahstad,Adamawa,58,Hilly,25.77075293429281,Policy C
355,New Jessica,Center,282,Mountainous,7.459299949581596,Policy B
356,Lisatown,Northwest,148,Mountainous,21.52677540544722,Policy C
357,Cassandraton,Northwest,708,Flat,17.416567695133402,Policy A
358,Lisatown,Northwest,865,Mountainous,9.579470353148825,Policy C
359,Ericmouth,Far North,257,Hilly,0.8386170333439957,Policy B
360,Ramirezstad,Adamawa,180,Flat,23.617384392826214,Policy A
361,Port Jesseville,Center,453,Mountainous,34.43976158862737,Policy B
362,Ericmouth,North,201,Mountainous,11.700728040118447,Policy C
363,East Jill,Southwest,103,Hilly,7.024438079885628,Policy B
364,New Roberttown,Far North,169,Mountainous,44.40861585012461,Policy A
365,Lake Chad,East,722,Flat,14.11372623814599,Policy A
366,Ericmouth,Northwest,969,Flat,11.568824679736906,Policy C
367,East Jill,East,677,Hilly,42.926298510690835,Policy A
368,North Judithbury,North,636,Hilly,40.94680140875468,Policy A
369,Cassandraton,East,674,Flat,22.693150290969363,Policy A
370,Lake Debra,Adamawa,469,Hilly,24.717323640674838,Policy A
371,Ericmouth,Adamawa,471,Mountainous,11.278560889284089,Policy B
372,Robinsonshire,Far North,153,Hilly,4.3759326887380965,Policy C
373,Port Keith,Southwest,901,Mountainous,28.884875355105223,Policy C
374,West Michael,Adamawa,303,Mountainous,5.36807361871555,Policy B
375,Lake Chad,Littoral,276,Flat,22.739090074354166,Policy C
376,West Michael,Adamawa,161,Mountainous,47.05461132639403,Policy B
377,North Judithbury,Far North,559,Mountainous,47.66530226394393,Policy A
378,East Jessetown,North,522,Mountainous,12.34694818409425,Policy C
379,New Roberttown,Littoral,148,Hilly,31.393614292259894,Policy C
380,Lake Debra,Littoral,202,Flat,23.966775073338955,Policy A
381,West Michael,Littoral,910,Flat,43.84641381551224,Policy A
382,East Jill,Southwest,963,Flat,13.935827781664635,Policy B
383,Herrerafurt,Littoral,945,Mountainous,0.6832691382046341,Policy C
384,Jacquelineland,Northwest,927,Flat,8.546779693605048,Policy C
385,West Michael,Center,387,Flat,17.801378657885202,Policy B
386,Lake Debra,Littoral,755,Mountainous,16.128195923639186,Policy A
387,Lake Chad,Adamawa,871,Mountainous,39.672464496582855,Policy C
388,Lake Debra,East,212,Flat,34.18775297387247,Policy B
389,East Jill,Center,769,Flat,15.328037820937414,Policy B
390,North Noahstad,Far North,730,Hilly,23.158318949727562,Policy B
391,Herrerafurt,Northwest,210,Mountainous,5.230175645937593,Policy C
392,East Jill,East,629,Mountainous,44.95824901859499,Policy B
393,Herrerafurt,East,850,Flat,46.80352881020244,Policy B
394,Lisatown,Littoral,447,Mountainous,49.000275001356435,Policy A
395,Lake Roberto,Far North,326,Flat,43.49336512389897,Policy A
396,East Jessetown,Center,865,Flat,9.111063940963163,Policy B
397,Herrerafurt,Southwest,965,Mountainous,2.7867259184806272,Policy B
398,West Michael,Center,553,Flat,29.190038006927363,Policy B
399,Lake Chad,Far North,945,Flat,45.67394883071397,Policy A
400,New Jessica,North,441,Flat,9.278892402157272,Policy A
401,Lake Debra,Southwest,184,Flat,0.848624273895022,Policy A
402,Lake Roberto,Center,244,Flat,40.372054278596096,Policy C
403,Robinsonshire,East,450,Flat,4.301386372193333,Policy B
404,Robinsonshire,Northwest,689,Hilly,20.978448579546505,Policy A
405,Lake Chad,Southwest,82,Mountainous,34.10492319084486,Policy B
406,North Judithbury,Northwest,737,Hilly,12.221480480080917,Policy B
407,Robinsonshire,Littoral,509,Mountainous,4.6561468906129715,Policy C
408,Cassandraton,North,932,Mountainous,38.61605080856352,Policy B
409,Lake Chad,Northwest,519,Flat,31.69366670190855,Policy A
410,Lake Roberto,North,424,Mountainous,49.43027898209684,Policy C
411,Ericmouth,Center,71,Hilly,17.543247649337985,Policy C
412,Robinsonshire,Far North,799,Mountainous,3.557238121364885,Policy B
413,East Jessetown,East,719,Flat,36.85032674909714,Policy B
414,New Kellystad,Far North,87,Hilly,26.325804233235658,Policy C
415,East Jill,Northwest,279,Mountainous,11.053594603762185,Policy C
416,Port Jesseville,North,414,Hilly,39.19558495573559,Policy B
417,Lake Roberto,Littoral,612,Mountainous,10.585896549572215,Policy C
418,Lisatown,North,487,Hilly,13.402751914230361,Policy C
419,Port Keith,Southwest,825,Hilly,5.080163441152598,Policy C
420,Herrerafurt,Littoral,332,Hilly,20.271897812027294,Policy A
421,North Noahstad,Adamawa,76,Flat,21.236996584902236,Policy A
422,Lake Roberto,Adamawa,275,Flat,25.97080862224077,Policy A
423,Lake Roberto,East,326,Mountainous,35.593731222626985,Policy C
