worker_key,worker_id,worker_role,years_of_experience,certification_status,specialization,healthcare_facility_key
86,ffc34906-dfbb-41b7-8544-fee9db3f516b,Doctor,25,Certified,Obstetrics,1124
87,90f7a1d1-f09d-4083-b24c-ecfdc7373267,Midwife,18,Uncertified,General,5902
88,17013558-4826-4678-8f37-47794d3e8ae0,Nurse,9,Uncertified,General,1014
89,49d5deec-da6a-4c2e-abc6-c400b2e7e413,Doctor,8,Certified,General,8720
90,e41a576c-b4a3-4d6a-a021-a41d2c79956d,Doctor,22,Uncertified,Pediatrics,1099
91,cce80744-e3b9-4f8f-9909-f159a318f918,Midwife,2,Uncertified,General,7423
92,59c13918-b6b0-4726-9039-9f423ec6f665,Midwife,37,Certified,Surgery,7550
93,ff17bd6f-c984-44fb-a656-1ffcc61c3d58,Midwife,35,Certified,General,8743
94,8ab4d57e-e456-45a2-9046-4feae3125624,Midwife,6,Uncertified,General,1724
95,7bbfa8ea-3698-41f8-a3d0-ed8933b5d393,Nurse,11,Uncertified,Obstetrics,3735
96,cf470c37-88ed-444f-acac-397a2b42673e,Doctor,23,Certified,Pediatrics,6136
97,dc049aec-5bf4-48bc-b683-5a9d78cc99a6,Doctor,15,Certified,Surgery,6584
98,92e32273-7def-44fc-a88f-311f67c73503,Doctor,19,Certified,Surgery,6975
99,a8d7ecd0-1feb-483d-8e07-0c16fe590f3b,Nurse,24,Certified,Obstetrics,2585
100,23761e87-eb15-4832-8c5b-ef4435474403,Midwife,10,Uncertified,General,7884
101,60dc0317-5361-43d4-a2a0-6bd86a205781,Nurse,33,Certified,Obstetrics,1798
102,f35992e3-74d3-4179-a320-6fba461f8bcc,Nurse,18,Certified,Obstetrics,783
103,d3f3cad9-188a-49eb-b8ec-221bb6027a95,Nurse,18,Certified,General,7151
104,8f7440d5-8484-4071-9776-76811531918e,Doctor,19,Uncertified,Pediatrics,4444
105,ba9c5a2a-ba90-4186-a22f-1e2a2140c691,Midwife,24,Certified,Pediatrics,9383
106,8651d059-d5f6-4432-9093-68fffc0ea433,Midwife,25,Certified,Surgery,2606
107,77ff9820-f5cb-4605-bce7-7237dd849b2c,Doctor,9,Uncertified,General,8908
108,e3de00e3-acd5-42b6-899a-db6cf5b48747,Nurse,35,Certified,Pediatrics,930
109,47107b23-9832-4d70-8a57-66558590ca75,Doctor,28,Uncertified,Surgery,6884
110,ef9e4435-b8b6-4101-aeaf-248f12af19a8,Nurse,28,Uncertified,General,5609
111,93acf2e0-ba4b-4222-bcd6-0e9e0084fa04,Nurse,13,Uncertified,General,880
112,6aa12d45-fd24-4a81-9db1-c0b01eee23d7,Doctor,32,Uncertified,General,6412
113,eedab4fe-4cfa-4687-9379-19941e87d756,Nurse,23,Uncertified,Pediatrics,254
114,61bf4326-412c-4034-81fe-dc5f66bd7b2f,Nurse,18,Uncertified,Pediatrics,5785
115,f7c42540-14eb-4cda-a64e-88d0b66a97eb,Nurse,12,Uncertified,Obstetrics,9053
116,db33c44d-9520-43e2-bfd5-f52d1a62de3e,Midwife,26,Certified,Pediatrics,94
117,c21c930c-0f73-43a7-bdb9-df74813d0497,Nurse,21,Uncertified,Obstetrics,7315
118,ccdcd16a-5cfd-4a59-b51d-2eb493999743,Doctor,9,Certified,Surgery,6018
119,c4775de9-bb40-49bf-ac26-76474dadaaad,Midwife,21,Certified,Obstetrics,2069
120,7d4e15de-eb16-4a10-9f87-98f24d4e2528,Nurse,23,Uncertified,General,7547
121,d03698be-bb4e-4c2b-b5a9-9ca1367fad43,Nurse,6,Uncertified,Pediatrics,4031
122,ead0a63c-8424-443c-aba6-c69dc505ac21,Doctor,29,Uncertified,General,5168
123,c3f0e1ab-a6ca-4b60-9ba4-7d748bef4b48,Nurse,1,Uncertified,General,6606
124,2f4a1dab-b5df-4070-b856-63945623ad9c,Doctor,9,Certified,General,9375
125,b8bb90a5-ffff-450c-bf3e-1f923dbdac3b,Midwife,3,Uncertified,Pediatrics,844
126,4ada3149-f871-4bed-bb9c-3c15ab4a7d5d,Nurse,9,Uncertified,General,7533
127,f8a659fe-d6ba-40d7-acb8-85988f3fd6c5,Midwife,24,Certified,General,1908
128,01361b8b-755f-4ddc-bede-2223ba5ecc6b,Doctor,28,Uncertified,Pediatrics,6295
129,8f7d8e96-8f70-4779-b800-67c00e772f09,Nurse,26,Uncertified,Obstetrics,848
130,25a3dcf6-a1ed-475b-9ef9-d51fe329c512,Doctor,16,Certified,General,1069
131,5596eef9-2c2e-4357-be04-20265733fba4,Doctor,7,Uncertified,Surgery,3750
132,1627e3cf-2825-404b-9845-421fee71a35e,Doctor,17,Certified,General,7276
133,c55956f6-ba21-41f7-a659-6289c03f32ef,Midwife,37,Uncertified,General,6362
134,8cf43673-07e2-41b9-940c-46db8e0fb501,Nurse,38,Certified,Obstetrics,4066
135,2a7ec945-c144-4390-a9d6-3050f80aa176,Midwife,34,Certified,Pediatrics,5391
136,f8ba1176-925e-4a2e-bbaa-87f767fb57a6,Midwife,19,Certified,Pediatrics,8330
137,68babf80-9d50-4e63-8f76-8f1d95e6fe6d,Midwife,8,Certified,Surgery,368
138,ba5f0d52-6974-4e04-a7e6-da0faa74c44d,Midwife,23,Certified,Pediatrics,6278
139,6e2d3c58-8a88-427a-a5fd-b59204ffd53e,Doctor,16,Certified,Pediatrics,2059
140,d7f55b10-b80b-4efd-a91a-c1c75c4f5965,Nurse,14,Certified,Surgery,2444
141,370abfbc-fe24-4af8-8c9f-d4413409666f,Nurse,18,Certified,Obstetrics,4897
142,ff597c4d-a586-4d7a-9233-02e5d435b914,Nurse,25,Certified,Pediatrics,6815
143,68ed0e6f-102c-4379-b599-8c785c6af630,Doctor,16,Uncertified,Pediatrics,2487
144,d3452c2c-c20b-44e3-a70a-f69a4eb45025,Midwife,15,Uncertified,Obstetrics,1769
145,f99f975f-2233-4d14-8794-4b4cab2bc291,Doctor,25,Uncertified,Pediatrics,9587
146,004c4600-b79f-4bc5-84be-c5ca1bc13d5e,Doctor,32,Certified,General,9735
147,aed04785-305c-47e1-838d-1b68d440759a,Doctor,25,Uncertified,Surgery,7946
148,0276ddf0-78ee-4359-beb9-e02afe36d4f8,Nurse,25,Uncertified,Pediatrics,680
149,97fe8547-bfcf-4715-81cb-9833d4fbc391,Nurse,36,Certified,Surgery,6418
150,726fc529-056b-4931-bbdd-eba0d7c07ab8,Nurse,8,Certified,Surgery,4010
151,7cc76fa2-3ef7-4720-8f8c-d3f40bf0ce37,Nurse,36,Uncertified,Pediatrics,3409
152,87194c22-0f8e-4bce-86d6-9a44852afbbb,Doctor,16,Uncertified,Surgery,284
153,bbb15da9-c076-4606-831a-0705a1aae0f9,Nurse,16,Uncertified,General,9095
154,b47e12ef-b6ae-4d6b-ab46-c9da6abaefa2,Midwife,6,Uncertified,Surgery,6158
155,cebdc3e3-c05f-40c8-af44-cd6dc382ba7f,Doctor,38,Certified,Obstetrics,8771
156,2a0a697f-398c-4efc-947d-8a39f070c09e,Doctor,14,Uncertified,General,9840
157,d7350103-ccf0-4e48-bfab-7d8b095d994f,Doctor,21,Uncertified,Surgery,3208
158,08fdd0ce-b4d0-46a4-80a1-451ecb62b9f2,Nurse,25,Uncertified,Surgery,9569
159,e3dede31-e3a9-4b00-b6c2-4fd9921565ea,Midwife,28,Uncertified,Obstetrics,7847
160,812ded7e-45e0-4d8e-bc0d-541a83cd2fa7,Doctor,6,Uncertified,Surgery,2475
161,ac218606-2790-4014-9807-b8d5457538a5,Midwife,37,Uncertified,Surgery,3485
162,7de09197-6f68-405e-b10a-5f99b1fb8931,Midwife,10,Uncertified,Surgery,1288
163,70b4c0d9-8a73-40fd-8df1-a4adb8f8247b,Midwife,7,Uncertified,Pediatrics,1445
164,af222448-ef12-45b2-a8cc-3596dd7fd5d5,Midwife,11,Certified,Pediatrics,9844
165,58fd2d54-68eb-4848-9d9d-e80a2d0e7e63,Midwife,12,Uncertified,Surgery,3726
166,cc66c8a1-798a-4772-9a38-562b0f2c00b2,Nurse,9,Uncertified,General,4977
167,44de96e0-dd0d-47dd-ac56-ade449515159,Midwife,5,Certified,Surgery,8812
168,5110c40c-651c-4898-971e-ce45cfe41699,Midwife,26,Uncertified,General,9582
169,788c5151-6d54-4e1c-a21b-789e710f6f83,Nurse,27,Certified,Obstetrics,8899
170,46b383a6-ad4e-4ccc-9c46-7deb6529adf5,Doctor,14,Certified,Surgery,5158
171,82844c24-991b-4365-85fe-77f716fdef9e,Doctor,17,Uncertified,Pediatrics,1528
172,725e1d3b-1a5b-4643-808c-9522290039b5,Midwife,8,Uncertified,Obstetrics,4950
173,7f97ebd8-457d-40a9-9602-bba0ff78b60f,Midwife,1,Uncertified,Pediatrics,6436
174,00e4e0b0-599b-4cae-93d0-25137a045c43,Midwife,32,Uncertified,General,3615
175,0a54e9c1-ce74-42ca-ab60-41f8dbee466a,Doctor,6,Certified,Pediatrics,8733
176,c3c44f31-5576-4232-8ead-4349319ee85a,Midwife,32,Uncertified,General,4217
177,0f9e5c14-262f-451d-813a-504221e373b6,Doctor,5,Uncertified,Obstetrics,5161
178,2df711ce-f997-4a8d-affd-98552f975059,Midwife,21,Uncertified,General,3982
179,fa08c994-fddf-4fe0-9c88-679365af064a,Nurse,29,Uncertified,Surgery,691
180,20007b10-377a-463b-8eef-de0b39cbf01f,Midwife,27,Certified,Obstetrics,9017
181,a9ce2bf4-6391-42ab-be41-cfc4d85c2ff4,Midwife,14,Certified,General,8450
182,58667341-4174-47e9-a76e-6aacf3b89516,Nurse,37,Certified,Obstetrics,5649
183,5f0813df-ed28-430d-b3f9-cbf62bfd154f,Nurse,35,Uncertified,General,2805
184,3dd46450-3901-47f2-b17c-3394f3d38d47,Doctor,25,Uncertified,Surgery,6008
185,b73b35fe-e917-4ed1-9c9e-1d5702968285,Nurse,24,Uncertified,Pediatrics,3769
186,fe35d237-ffc4-4b92-8873-2efbc249a9ed,Midwife,27,Certified,Obstetrics,3462
187,d1ecab32-c678-42f8-80e4-712b76215b47,Doctor,7,Uncertified,Obstetrics,476
188,0a0a7a8a-c2b6-4a9a-868b-113b42066ad7,Nurse,26,Uncertified,General,915
189,55c34e89-3a23-4ea3-a18f-9784bb813d30,Nurse,1,Certified,General,8028
190,57c3add6-83d3-4337-aec4-26c116279342,Doctor,28,Uncertified,Surgery,8516
191,459241ac-2603-45c8-a5b5-32dd258a0e74,Nurse,21,Uncertified,Surgery,3375
192,7a87deb7-bea0-4dff-a653-87b277093625,Midwife,37,Uncertified,General,5856
193,57b480c6-2009-4646-9f46-a4555e3b89ce,Nurse,16,Uncertified,Surgery,336
194,7b70a734-333a-4009-8ed7-c6e6b5456648,Midwife,6,Uncertified,General,9458
195,97f33322-9323-438b-a204-38f9c2930d26,Doctor,21,Certified,Surgery,7827
196,b859e840-0fd5-4224-8654-4239fbc30387,Nurse,2,Uncertified,Pediatrics,528
197,d699bbbe-d72f-4825-9bb0-6f00cc6dffe7,Doctor,16,Uncertified,Pediatrics,5360
198,b92c2284-6641-4a88-b5be-b95ae136b2f0,Midwife,15,Uncertified,Surgery,6999
199,99b90023-687f-419c-845e-a576ec951111,Midwife,16,Uncertified,General,5672
200,22d117dc-31b2-43cb-b578-3e64ee429722,Doctor,32,Uncertified,Pediatrics,1511
201,3793d2f2-3b05-444d-af39-c99c7e18ddf4,Midwife,37,Certified,Surgery,4490
202,2642425a-2128-4f77-8203-e5dafe2f4fa1,Nurse,4,Uncertified,Surgery,8597
203,b2788e68-5ade-490e-b194-c92c8864f060,Midwife,21,Uncertified,Obstetrics,3025
204,f24bc2c0-c5f8-4ded-a8ca-9023667693ab,Midwife,27,Uncertified,Obstetrics,8827
205,772160ec-3b1a-4f3f-8506-d4a7c551b713,Nurse,24,Certified,General,6889
206,d538e813-c959-4492-a52c-738e23cac64b,Nurse,6,Certified,Pediatrics,4627
207,7f4e8eeb-3817-4e8c-904e-1bd2dad83382,Midwife,34,Certified,Surgery,6583
208,5646d9a9-2fad-4436-ad3d-1ee8ac965dc7,Nurse,38,Certified,Surgery,6468
209,1a1d2340-3538-47d6-9469-30aec03bfa94,Nurse,18,Certified,General,5852
210,3abbc7cc-cf56-46e4-bbaa-f99a090c5f87,Nurse,21,Uncertified,General,8137
211,c44e7fd3-d315-493d-b8b6-8612b7ab81ef,Nurse,15,Certified,Surgery,6562
212,e2a60fe3-b6e1-4a21-b2ef-1b61bbbcc3e6,Nurse,30,Certified,Surgery,7640
213,b1639f14-8b10-4a79-81c4-91120d9ef371,Nurse,6,Uncertified,General,9031
214,a7acc549-247f-4a51-8feb-f36095857083,Midwife,37,Certified,Obstetrics,4215
215,e567ccff-ef83-49e3-8040-7101352657bc,Nurse,15,Certified,Surgery,5977
216,721e0a41-be39-4a77-b454-793408b625a3,Doctor,18,Uncertified,Obstetrics,7923
217,30eb1a74-3290-41bd-8460-85d602da1b64,Nurse,10,Certified,Pediatrics,2663
218,3257d849-c2fc-4d79-a30b-2bb43bb46892,Doctor,3,Uncertified,Pediatrics,3572
219,a0725989-a1db-430f-9fb0-abc3aecbf7f1,Nurse,27,Uncertified,General,7506
220,83bf5845-cf89-441a-a321-fecb89937312,Nurse,24,Uncertified,Pediatrics,5564
221,5dfc843e-47eb-4404-888b-464b35e6168c,Midwife,4,Certified,Pediatrics,8713
222,f7e04b1e-c41b-4e70-a276-4813660c3366,Nurse,11,Uncertified,Surgery,9618
223,a54a9c07-5c2c-407b-a0bc-eac5151e087b,Doctor,30,Certified,Pediatrics,7917
224,a03d6600-8c24-4e9b-a40e-e0157ca33bbc,Doctor,1,Uncertified,Pediatrics,6553
225,76f93385-44f6-4b7a-833c-760cec02fbe5,Nurse,8,Certified,Pediatrics,4539
226,97aa441c-19dc-42a4-b09c-82c038184857,Doctor,11,Certified,Obstetrics,5620
227,a4479ae2-b5fb-4028-8d0a-d95c86157303,Midwife,35,Certified,Obstetrics,7631
228,ef6c64b1-c0b3-4374-9f26-b776a055298d,Midwife,15,Uncertified,Surgery,4679
229,7a3ea716-1d19-4860-ad72-b66aafe4b07a,Doctor,9,Uncertified,Surgery,4488
230,a8a2355d-9245-48c3-abc4-75b6f310f61d,Midwife,12,Uncertified,Obstetrics,3335
231,e4c5f25c-043d-40e7-8a54-9fd862b975b9,Doctor,14,Uncertified,Surgery,9616
232,62db8d22-a0b9-43c7-a70d-655dfa2ca0ee,Midwife,6,Certified,General,5864
233,b4bdc2c7-d81a-40b9-9e99-75464bb90cef,Midwife,13,Uncertified,Pediatrics,464
234,ba58132e-4d6d-4a14-8ea2-3f315b465a12,Nurse,19,Uncertified,Obstetrics,4643
235,188a3893-24e2-4426-b0ef-ea91d4fddefd,Midwife,7,Certified,General,6828
236,b25cc8c6-aa6a-43ff-bd4d-bfb45e1e4023,Nurse,16,Certified,Surgery,946
237,76ac5ae6-38f2-4fa7-8aa3-0b018a14c41e,Midwife,29,Uncertified,Surgery,7512
238,6f6127a8-2847-4019-ab31-0d489ee7c59e,Nurse,36,Certified,General,227
239,34cd5d6f-52bd-407b-87b5-c69a4a13de29,Nurse,2,Uncertified,Obstetrics,7272
240,d2eb9dc9-a115-4e59-a53d-7ed8b69a12af,Nurse,33,Certified,Surgery,4365
241,f83fb3b4-a5cf-44a9-b2be-7b1f73470176,Nurse,32,Certified,General,4333
242,6dbdbe0c-9a3f-4844-b7e1-f349fda5cb8c,Doctor,1,Uncertified,Pediatrics,2256
243,9de2b1e9-5cd7-4179-8781-7ad185bba977,Nurse,2,Certified,Pediatrics,2179
244,f6285e40-b9cf-483f-8358-d08134450610,Nurse,38,Uncertified,Pediatrics,363
245,8e5c16f7-fdf6-4579-86b3-468821fe4bde,Doctor,30,Uncertified,Surgery,2007
246,92797a73-cd83-4265-a2ba-902436a06105,Midwife,27,Certified,Pediatrics,6166
247,74f1c689-9a6d-4c4b-b890-135e09bb6d1a,Doctor,18,Uncertified,Obstetrics,4124
248,77fff0fe-9b70-49a0-a901-73cd9d157d1a,Nurse,4,Certified,General,4836
249,ac10ba34-ad4b-47d8-aa91-fa77e9e89728,Midwife,16,Uncertified,General,8528
250,ad7f0730-37ba-47ec-9ccd-5aec8493e39d,Nurse,32,Uncertified,Obstetrics,5275
251,5f4eb06f-b181-4a83-948e-b7023612f729,Doctor,22,Certified,Surgery,3371
252,1837e8b9-2a3c-4f6b-bcef-0b0b05d9f92f,Doctor,31,Certified,Surgery,3343
253,c1ef8337-5fc7-4b58-8282-db589807663a,Midwife,15,Uncertified,Obstetrics,1562
254,6bacd409-ac97-43d1-9303-ad2d94e74902,Midwife,24,Uncertified,Obstetrics,6438
255,5ce0cd25-cc41-40a4-986f-1b20f6c58ec6,Doctor,9,Certified,General,6977
256,af58c1a0-ae51-473d-94a8-9212c7854729,Doctor,3,Certified,Obstetrics,7310
257,54e52aae-20b5-42d5-87a4-7981ba3c680d,Doctor,3,Uncertified,Pediatrics,5014
258,6f34f064-6f97-4be0-a568-49f902fdadd4,Nurse,34,Uncertified,Obstetrics,8806
259,a63bd45f-bc87-47f0-a958-af86e07fdb55,Doctor,2,Certified,Pediatrics,6476
260,abccd7e5-a34d-4ee8-a7a0-12f986256527,Doctor,31,Uncertified,Pediatrics,5174
261,a56f7bcd-673c-4c9b-896d-4490c475301c,Midwife,27,Certified,General,3111
262,4c33bad3-fd8f-4ea8-b920-9ed6752e9f49,Doctor,17,Uncertified,Obstetrics,4478
263,17f78015-7895-411e-aae4-a14f7e84b263,Doctor,10,Certified,Surgery,3115
264,91784374-d42e-4d39-8c3f-6f87deeee136,Nurse,38,Uncertified,Pediatrics,9752
265,6db63fb6-882a-47c8-adb4-c94793b6ab2a,Midwife,25,Uncertified,Obstetrics,8688
266,95652ccf-8f3c-4d61-a46f-785c3f2209a7,Doctor,11,Certified,Obstetrics,9697
267,16ca77c8-9d9a-4088-b962-7c785bbe74c3,Doctor,37,Uncertified,Pediatrics,3812
268,3b2a1678-003f-4c79-bb10-0491e3fce367,Nurse,29,Uncertified,Surgery,9099
269,4f77a7c2-2f69-4b34-95bf-39238719c839,Doctor,11,Certified,Surgery,7234
270,6191f9b7-783e-40a7-9b44-a6da2589f611,Doctor,35,Certified,General,5421
271,5343debf-1a68-4a20-a717-9b322b3cca34,Midwife,31,Uncertified,General,514
272,66834d0b-c266-4c3f-90e4-08a65a3b73ba,Doctor,28,Certified,Obstetrics,532
273,71179705-ad50-4c97-a854-d3113df497d1,Midwife,13,Certified,Pediatrics,2542
274,ad39e052-92a0-4688-b4b5-bf074b824317,Midwife,33,Uncertified,Pediatrics,9062
275,98b8dd90-3a54-447a-aa25-5538fc5c960f,Doctor,14,Uncertified,Surgery,3127
276,5639a196-9d76-42ce-81d5-f6269a8d39c5,Nurse,31,Uncertified,Obstetrics,2213
277,01d9587a-49fd-4505-98b2-8ca8eabd7c89,Nurse,27,Uncertified,Surgery,8482
278,590dc4bf-9019-4c4a-8e6b-bcf73378d6c4,Doctor,31,Uncertified,General,135
279,49371332-be7d-4412-89b2-30f35204c1c8,Nurse,36,Uncertified,General,3589
280,c75891e8-6f7b-49f7-9cbf-4a556a2d96e1,Midwife,12,Uncertified,Pediatrics,3808
281,32c97319-5e35-434e-a725-a5e2a99b1357,Nurse,31,Uncertified,Pediatrics,3333
282,8377dc89-0ee6-44f4-b84d-57a513118ab7,Doctor,2,Uncertified,Pediatrics,8148
283,0db71d95-0804-45dc-b79a-72807d97fb59,Doctor,3,Uncertified,Surgery,584
