socioeconomic_key,employment_status,income_level,access_to_healthcare,education_level,insurance_coverage
67,Student,5026.985787941312,Good,Tertiary,Yes
68,Unemployed,2188.1156386192197,Good,None,No
69,Student,9618.056043906363,Moderate,Tertiary,Yes
70,Student,6693.293297857361,Moderate,Primary,No
71,Student,2582.292766726905,Good,Primary,No
72,Student,2442.3199688055815,Good,None,Yes
73,Employed,1662.5282106316592,Moderate,None,Yes
74,Student,7793.598737543339,Good,Primary,No
75,Employed,4848.2678542478325,Good,Tertiary,No
76,Employed,8954.093501898473,Moderate,Secondary,Yes
77,Student,111.33680152794834,Poor,Primary,No
78,Unemployed,5017.178895405106,Poor,Secondary,Yes
79,Student,4922.176345049323,Good,None,Yes
80,Student,9827.998585666486,Poor,None,Yes
81,Employed,7277.918507040109,Good,Tertiary,No
82,Unemployed,5437.724634210744,Moderate,None,No
83,Student,5853.981324391722,Good,Tertiary,No
84,Employed,7021.326563789727,Good,Secondary,No
85,Student,9196.317557188893,Poor,None,No
86,Employed,731.513847833136,Poor,Primary,No
87,Unemployed,735.6890632309382,Good,Secondary,No
88,Unemployed,2134.700127334049,Good,None,Yes
89,Unemployed,4473.731860419897,Poor,None,No
90,Student,3558.55099918648,Poor,None,No
91,Unemployed,615.2023253238624,Poor,None,Yes
92,Unemployed,6024.167457131612,Good,None,Yes
93,Student,8447.494996629002,Moderate,Secondary,No
94,Employed,653.8644367899548,Good,Secondary,No
95,Student,5278.761213246758,Poor,Secondary,Yes
96,Employed,9817.467528030107,Good,Secondary,No
97,Student,597.7660015207503,Good,Secondary,No
98,Unemployed,3014.6389508480074,Poor,None,Yes
99,Employed,4475.94415560489,Poor,Primary,No
100,Employed,1816.7585519927054,Moderate,Tertiary,No
101,Student,5557.034137394373,Good,Secondary,No
102,Unemployed,8534.844382014322,Good,None,No
103,Employed,3724.147822516829,Poor,Secondary,Yes
104,Student,186.94488619274054,Good,None,No
105,Employed,6175.57257686669,Good,Secondary,No
106,Employed,8834.469253135949,Good,None,Yes
107,Employed,7955.095241149292,Moderate,Secondary,Yes
108,Unemployed,6541.970050647081,Good,None,No
109,Unemployed,7777.476721686064,Poor,None,No
110,Employed,3292.701804379754,Poor,Tertiary,No
111,Employed,4909.2646891085515,Good,Tertiary,No
112,Employed,3908.5699810202523,Moderate,None,No
113,Unemployed,495.7140139697336,Moderate,Secondary,Yes
114,Unemployed,2529.4742446357745,Poor,None,No
115,Unemployed,5018.817041296235,Poor,None,No
116,Unemployed,6490.595362983951,Good,None,Yes
117,Employed,290.7963999815535,Good,Tertiary,Yes
118,Employed,9275.518446319651,Moderate,Tertiary,No
119,Unemployed,6013.775663331116,Good,Primary,Yes
120,Employed,8360.851765346744,Moderate,Tertiary,Yes
121,Student,1926.7506175177919,Moderate,None,No
122,Unemployed,6312.420222614227,Moderate,Tertiary,Yes
123,Student,902.4009838058964,Poor,Secondary,Yes
124,Student,4581.724748645851,Moderate,Tertiary,Yes
125,Student,7003.101516648172,Good,Tertiary,Yes
126,Unemployed,6646.177190583701,Moderate,Primary,Yes
127,Employed,2412.437823848009,Good,Secondary,Yes
128,Student,1199.3701822008127,Poor,Secondary,No
129,Employed,3619.18824164432,Good,Tertiary,Yes
130,Unemployed,6143.124426031405,Good,Tertiary,No
131,Unemployed,987.1694695173832,Moderate,Secondary,No
132,Unemployed,8387.62238164107,Poor,None,No
133,Unemployed,5088.506723893516,Good,Secondary,No
134,Employed,8591.571879384928,Good,Secondary,Yes
135,Employed,6526.028291212786,Good,None,Yes
136,Unemployed,9743.802241142426,Moderate,None,No
137,Student,4966.164084286827,Moderate,Tertiary,No
138,Employed,7284.1303898678725,Good,Tertiary,No
139,Employed,4951.987633982522,Moderate,None,Yes
140,Student,1775.922425510073,Good,Primary,Yes
141,Student,987.0232767410018,Moderate,Secondary,Yes
142,Unemployed,2435.223105052213,Good,Secondary,Yes
143,Student,5825.625236343406,Poor,Tertiary,Yes
144,Student,8347.72917620965,Moderate,Secondary,Yes
145,Unemployed,1502.9628434200977,Moderate,None,No
146,Unemployed,9249.415124759664,Good,Tertiary,Yes
147,Employed,4838.103684008677,Poor,Tertiary,Yes
148,Employed,5091.691418497888,Good,Secondary,Yes
149,Unemployed,409.2479505976863,Poor,Primary,Yes
150,Employed,9698.549843603008,Poor,Tertiary,Yes
151,Unemployed,700.4302723177212,Good,None,No
152,Unemployed,2972.0870439758073,Good,Tertiary,Yes
153,Unemployed,6357.989607642244,Moderate,None,Yes
154,Student,6451.3593082110365,Good,Tertiary,Yes
155,Employed,4335.4114831031275,Moderate,Tertiary,Yes
156,Student,8703.052042992713,Good,Primary,Yes
157,Employed,3394.382827427543,Good,Secondary,No
158,Employed,1632.9969062501193,Good,Primary,No
159,Employed,513.6482580334989,Poor,None,Yes
160,Student,1449.4957914890122,Poor,Tertiary,No
161,Employed,9555.365654499914,Poor,Secondary,Yes
162,Student,3169.97700631335,Good,Primary,Yes
163,Student,6602.547344446467,Moderate,None,No
164,Employed,9690.034852285837,Poor,Tertiary,No
165,Employed,8868.379201054226,Good,Secondary,No
166,Unemployed,5093.564487406726,Poor,Primary,Yes
167,Employed,936.3364468774766,Moderate,Tertiary,Yes
168,Unemployed,7218.6790496326985,Good,Secondary,Yes
169,Employed,1405.5264673322142,Good,Tertiary,No
170,Unemployed,1564.4896875892975,Poor,None,No
171,Unemployed,8806.505467057543,Moderate,Secondary,Yes
172,Unemployed,6703.459233990249,Poor,Tertiary,No
173,Employed,9310.125224737634,Moderate,Tertiary,No
174,Student,9586.612637821754,Good,None,No
175,Unemployed,4657.787904134372,Good,Tertiary,No
176,Unemployed,6723.432438167022,Good,None,No
177,Unemployed,6583.913405231325,Good,Primary,Yes
178,Student,1216.0437773210704,Moderate,None,No
179,Unemployed,6228.8041936724385,Good,None,No
180,Unemployed,1195.8077030910397,Moderate,Secondary,Yes
181,Employed,8573.068427612929,Poor,None,No
182,Employed,9290.23708537614,Moderate,None,Yes
183,Unemployed,3950.936173008713,Poor,Tertiary,No
184,Employed,6968.421672453214,Moderate,None,No
185,Employed,7026.615130645177,Good,Primary,No
186,Student,596.4264073169356,Poor,Tertiary,Yes
187,Employed,1715.4724840360157,Poor,Tertiary,Yes
188,Unemployed,8869.353636220434,Moderate,Secondary,Yes
189,Employed,2061.3398522632697,Poor,None,No
190,Student,7606.409526300113,Poor,Secondary,No
191,Student,5959.6921970175645,Good,Primary,Yes
192,Employed,7166.501229340542,Good,Tertiary,No
193,Student,1572.705875099887,Moderate,Primary,No
194,Employed,8064.060448701789,Moderate,Secondary,No
195,Employed,3722.8205964141525,Good,Primary,Yes
196,Student,9883.703927627319,Moderate,None,No
197,Employed,4387.570183839206,Good,Secondary,Yes
198,Employed,3245.5318879766755,Poor,Secondary,No
199,Unemployed,1516.5427051834288,Moderate,None,Yes
200,Employed,793.9399687736028,Good,Primary,Yes
201,Employed,8827.623560345453,Poor,Primary,No
202,Unemployed,1308.6466356150108,Poor,None,Yes
203,Employed,8816.034797327435,Poor,Secondary,Yes
204,Employed,5548.103871144569,Moderate,Tertiary,No
205,Employed,6656.71935130421,Good,Tertiary,No
206,Student,8088.391861097357,Moderate,Secondary,No
207,Employed,5463.969668546397,Moderate,Primary,No
208,Unemployed,4975.848696760213,Poor,Secondary,Yes
209,Employed,7849.502757058214,Poor,None,No
210,Unemployed,4217.768956556948,Moderate,None,Yes
211,Unemployed,878.266168475005,Moderate,None,No
212,Student,6342.896932363198,Good,Primary,No
213,Employed,449.07022118423157,Moderate,Secondary,No
214,Employed,6034.375685578515,Poor,Tertiary,Yes
215,Employed,5156.235078190573,Good,Secondary,No
216,Unemployed,3120.593801782049,Poor,Secondary,Yes
217,Student,3517.8930745685257,Moderate,Tertiary,Yes
218,Unemployed,4604.289578569355,Good,Tertiary,Yes
219,Employed,4963.612850939885,Moderate,Tertiary,Yes
220,Student,4302.132689921799,Good,Tertiary,No
221,Student,3982.65759531756,Good,Secondary,Yes
222,Unemployed,3307.446579900635,Poor,Primary,No
223,Employed,6510.970259035907,Good,Secondary,No
224,Employed,4152.159118647358,Moderate,Primary,Yes
225,Student,3244.818995902474,Good,Secondary,No
226,Unemployed,9036.862757480725,Poor,Tertiary,Yes
227,Employed,1899.6269219736905,Good,Primary,No
228,Unemployed,1537.7296003916274,Good,Tertiary,Yes
229,Student,7788.908573065952,Good,Tertiary,Yes
230,Unemployed,1245.2077148325823,Poor,Primary,Yes
231,Unemployed,2785.8827673196615,Good,None,No
232,Student,3573.696772277545,Poor,Tertiary,No
233,Student,2934.7663659874574,Moderate,Secondary,Yes
234,Employed,7370.872316886886,Moderate,None,Yes
235,Unemployed,2056.353895485032,Poor,Tertiary,Yes
236,Unemployed,6927.782404162293,Poor,None,Yes
237,Employed,2988.4791154831505,Poor,Secondary,No
238,Employed,8581.12373878442,Moderate,Primary,No
239,Employed,8771.724996426965,Good,Secondary,Yes
240,Unemployed,2860.908756840925,Good,Secondary,Yes
241,Unemployed,6006.674219183109,Moderate,Primary,No
242,Employed,8132.142548871137,Moderate,Secondary,Yes
243,Employed,823.8847516976898,Poor,Tertiary,Yes
244,Unemployed,5728.671463424571,Moderate,None,Yes
245,Student,9766.833060738925,Moderate,Secondary,No
246,Unemployed,3692.116236337982,Poor,None,No
247,Employed,7309.890424442623,Moderate,None,Yes
248,Student,7982.965118364447,Good,Secondary,No
249,Student,7460.053514629161,Poor,None,No
250,Unemployed,9501.012887688046,Poor,Tertiary,Yes
251,Student,7697.987309784749,Moderate,Tertiary,Yes
252,Employed,9338.714059255244,Poor,Secondary,Yes
253,Student,2386.610388928356,Poor,Secondary,Yes
254,Employed,5953.823658167963,Poor,Tertiary,Yes
255,Employed,3845.2327423451957,Moderate,None,Yes
256,Employed,7253.523652641392,Good,None,No
257,Employed,1599.6572959235905,Good,Primary,Yes
258,Unemployed,1874.8278907714932,Moderate,None,Yes
259,Unemployed,1389.7641679191815,Moderate,Primary,Yes
260,Employed,2764.093030462805,Moderate,Tertiary,Yes
261,Student,1946.8798868731626,Moderate,Primary,No
262,Student,7764.648242070527,Moderate,None,Yes
263,Unemployed,5911.086667534382,Moderate,Tertiary,No
264,Student,3776.4294072156417,Moderate,Primary,No
265,Employed,2131.9991965994336,Poor,Tertiary,No
266,Unemployed,8050.460462887752,Moderate,Secondary,Yes
267,Student,8814.007849000916,Good,Primary,No
268,Employed,8543.456658138839,Moderate,Secondary,No
269,Unemployed,9255.363366245758,Poor,Tertiary,No
270,Employed,8096.864979676771,Moderate,Primary,Yes
271,Unemployed,6364.2896468175995,Moderate,None,No
272,Unemployed,4358.851109536295,Moderate,None,Yes
273,Unemployed,2974.493489242589,Good,Primary,No
274,Student,162.81241609588946,Good,Tertiary,No
275,Student,8339.686494690908,Moderate,None,Yes
276,Employed,4418.426517235236,Poor,None,No
277,Employed,8734.8340430968,Poor,Secondary,No
278,Student,3286.417808609595,Good,None,Yes
279,Employed,3447.0678054698665,Poor,Primary,Yes
280,Employed,309.5156684187372,Moderate,Tertiary,Yes
281,Student,4905.832152155557,Poor,None,No
282,Unemployed,4938.466642950816,Poor,None,No
283,Student,6583.037784136473,Poor,Tertiary,No
284,Student,7521.72582287728,Moderate,Tertiary,No
285,Unemployed,3538.0358103207013,Good,Primary,No
286,Employed,9281.401307250544,Good,None,Yes
287,Unemployed,4617.960846972211,Good,Tertiary,Yes
288,Student,5780.428686185108,Good,Secondary,No
289,Student,5980.212554411526,Moderate,Tertiary,Yes
290,Unemployed,8777.847168725433,Poor,Primary,Yes
291,Student,6960.227388812808,Poor,Primary,No
292,Employed,3601.0555985570045,Poor,Secondary,No
293,Unemployed,7090.397252923802,Poor,Primary,Yes
294,Unemployed,8938.267530900215,Poor,None,Yes
295,Employed,8238.815979567396,Good,Tertiary,No
296,Employed,569.103491378287,Poor,Secondary,Yes
297,Unemployed,754.5596795200016,Good,Primary,Yes
298,Unemployed,6823.119946164192,Poor,Primary,Yes
299,Unemployed,9814.58600359238,Good,Secondary,Yes
300,Employed,6034.089770513528,Moderate,Primary,No
301,Student,4411.975550147218,Moderate,Secondary,No
302,Unemployed,5859.585115541606,Good,Tertiary,Yes
303,Unemployed,4603.394790108387,Poor,None,No
304,Student,2214.0571834374196,Poor,Primary,Yes
305,Unemployed,2867.850008283913,Good,Primary,No
306,Student,3060.2457642283093,Moderate,Secondary,No
307,Employed,6033.462814364378,Moderate,None,No
308,Employed,8332.221634886575,Good,Tertiary,Yes
309,Unemployed,608.2990847922449,Moderate,Primary,No
310,Employed,5274.958151018908,Poor,Primary,No
311,Student,5350.675230663835,Poor,None,Yes
312,Student,9613.657342590368,Good,Tertiary,Yes
313,Student,8197.304065013464,Poor,Primary,No
314,Employed,3973.8357163761757,Poor,Secondary,Yes
315,Unemployed,6136.41594608842,Moderate,Secondary,No
316,Student,6596.00245316102,Good,None,Yes
317,Employed,6733.152961444864,Moderate,Primary,No
318,Unemployed,9090.685165679668,Poor,Primary,Yes
319,Unemployed,5848.420031400821,Good,Tertiary,No
320,Student,2271.948459501795,Poor,Tertiary,Yes
321,Unemployed,6466.092659774416,Poor,None,No
322,Employed,2429.882537350369,Good,Tertiary,Yes
323,Student,1253.0734627601746,Moderate,Primary,No
324,Employed,6124.892337226225,Moderate,Tertiary,Yes
325,Unemployed,2886.3666010733277,Good,Secondary,No
326,Unemployed,6322.33690840731,Moderate,Tertiary,No
327,Employed,8222.857815677586,Poor,Secondary,No
328,Unemployed,1546.1533737855066,Moderate,None,Yes
329,Employed,684.7967993193516,Poor,None,Yes
330,Employed,937.8278557191835,Good,Primary,Yes
331,Unemployed,9681.495684526888,Poor,Tertiary,Yes
332,Unemployed,982.9519428723477,Moderate,None,No
333,Employed,9243.737543400941,Poor,Secondary,No
334,Student,9755.120561884662,Poor,Tertiary,No
335,Employed,807.5123706929891,Moderate,Tertiary,Yes
336,Student,5414.914597627164,Poor,Primary,No
337,Employed,7012.8994434675815,Poor,Secondary,No
338,Employed,467.00846863205874,Good,None,No
339,Student,5222.980389550244,Moderate,Tertiary,No
340,Unemployed,4264.070781468293,Poor,Primary,Yes
341,Unemployed,5130.569811870311,Moderate,Primary,Yes
342,Employed,5525.350747517647,Good,Tertiary,No
343,Employed,7186.940690113496,Poor,Tertiary,Yes
344,Student,1332.1714491660719,Moderate,None,Yes
345,Employed,9934.440381920827,Good,None,No
346,Employed,2848.921036864726,Good,None,Yes
347,Student,9800.03483966543,Moderate,Primary,Yes
348,Unemployed,6887.778732324559,Good,Primary,No
349,Unemployed,6867.558709474204,Good,Tertiary,No
350,Unemployed,9226.8755036892,Moderate,None,No
351,Employed,8870.373633727806,Poor,None,No
352,Student,2348.7231877276017,Poor,Secondary,Yes
353,Employed,6998.174103118965,Moderate,Secondary,Yes
354,Unemployed,5098.67312306955,Poor,Secondary,Yes
355,Unemployed,4975.0696026355445,Good,None,No
356,Student,246.75466209733764,Moderate,None,Yes
357,Employed,5308.5410915896855,Good,Secondary,Yes
358,Unemployed,1045.3452465331347,Moderate,Tertiary,Yes
359,Student,2761.8416343105177,Good,Primary,No
360,Unemployed,205.5706252485673,Good,Tertiary,No
361,Unemployed,4069.1343628555105,Poor,Primary,No
362,Student,9260.597832305391,Good,Tertiary,No
363,Employed,8039.72798270465,Poor,Secondary,Yes
364,Unemployed,669.3651786972163,Good,None,Yes
365,Student,7156.642503866338,Moderate,Secondary,No
366,Employed,7303.768033088756,Moderate,Secondary,No
367,Employed,7806.760664086281,Poor,Tertiary,Yes
368,Student,6607.925446563733,Good,Primary,Yes
369,Employed,758.4312241993656,Poor,Primary,No
370,Student,6561.243976512096,Moderate,Tertiary,No
371,Student,2228.904963481899,Moderate,Tertiary,Yes
372,Unemployed,5974.313069021634,Poor,Tertiary,Yes
373,Employed,6817.70937894548,Moderate,Primary,Yes
374,Unemployed,1151.1039401578503,Poor,Tertiary,Yes
375,Employed,4720.9170106185475,Moderate,Primary,No
376,Employed,2407.9357115089356,Moderate,Primary,Yes
377,Employed,8093.721408596127,Moderate,None,Yes
378,Unemployed,9319.61050513934,Good,Primary,No
379,Student,5209.611111628863,Moderate,Secondary,No
380,Employed,5593.435901225744,Moderate,None,Yes
381,Student,883.5307886561017,Good,None,No
382,Student,3953.5867199285462,Good,None,Yes
383,Student,1533.3422231249697,Poor,Secondary,Yes
384,Employed,7074.56743645259,Moderate,Secondary,Yes
385,Unemployed,9594.953208824321,Moderate,Tertiary,Yes
386,Unemployed,8088.5813008113355,Good,Secondary,No
387,Unemployed,3941.9430543589856,Moderate,Tertiary,Yes
388,Employed,6669.770257514583,Good,Secondary,No
389,Student,9974.788189391225,Good,Secondary,Yes
390,Student,503.6071950127186,Good,Secondary,No
391,Student,2852.876575172612,Moderate,None,No
392,Student,883.5506348107145,Good,Tertiary,Yes
393,Student,6416.63939762175,Poor,None,No
394,Student,8436.47566515942,Moderate,Secondary,Yes
395,Student,3699.7365660557653,Poor,None,No
396,Unemployed,4000.7480640568374,Moderate,None,No
397,Unemployed,3011.1658206876814,Poor,Secondary,No
398,Unemployed,5677.8680233900195,Good,None,Yes
399,Unemployed,1352.13059354685,Moderate,Secondary,No
400,Employed,1963.5232623845025,Moderate,Primary,Yes
401,Student,903.9324379218896,Good,Tertiary,Yes
402,Student,1519.448607835051,Poor,Secondary,Yes
403,Student,8452.59129148609,Moderate,Tertiary,Yes
404,Student,1883.3194419237295,Moderate,Secondary,No
405,Student,4884.027174241125,Poor,Secondary,No
406,Employed,7022.3404106724765,Good,Primary,No
407,Employed,1967.6262920784493,Poor,Tertiary,No
408,Employed,4546.736311777894,Good,Tertiary,Yes
409,Student,2220.8124276005537,Good,Secondary,Yes
410,Unemployed,9156.377473669756,Poor,Secondary,No
411,Unemployed,464.0044957212719,Poor,Primary,Yes
412,Employed,5910.5930101510285,Good,Primary,Yes
413,Employed,8824.298457259558,Good,None,Yes
414,Employed,7882.246579792137,Moderate,Tertiary,No
415,Unemployed,2410.2759621957057,Poor,Tertiary,No
416,Employed,5420.158696024523,Moderate,Primary,Yes
417,Unemployed,714.4750518784326,Poor,None,No
418,Unemployed,2862.0935827236767,Poor,Tertiary,Yes
419,Employed,3910.1672932104902,Poor,Tertiary,No
420,Unemployed,841.8146900954775,Good,Secondary,No
421,Unemployed,1756.1253368632995,Moderate,Secondary,No
422,Unemployed,8449.074697578528,Moderate,None,No
423,Unemployed,4729.102207351317,Good,None,Yes
424,Employed,9428.690945904898,Moderate,Primary,No
425,Employed,1648.6258495229918,Poor,Tertiary,No
426,Unemployed,6736.939465056737,Good,None,Yes
427,Employed,7664.1733121020225,Poor,Primary,Yes
428,Unemployed,7781.730956364875,Moderate,None,Yes
429,Unemployed,7631.117364711648,Good,Secondary,Yes
430,Employed,1759.959965029073,Good,Tertiary,No
431,Employed,4521.878596810049,Poor,None,No
432,Unemployed,8925.453039425483,Good,Secondary,Yes
433,Employed,5745.534030677172,Moderate,None,Yes
434,Student,3798.5209299646403,Moderate,Secondary,No
435,Unemployed,241.03074119995006,Good,Primary,No
436,Student,6117.565781329004,Good,None,Yes
437,Student,8956.091346292586,Poor,Primary,No
438,Employed,2117.666761360395,Good,Secondary,Yes
439,Employed,9950.80059383543,Good,Secondary,Yes
440,Employed,2183.7678217313874,Poor,Primary,No
441,Unemployed,5747.146937659684,Good,None,No
442,Employed,4855.030426014595,Poor,Primary,Yes
443,Employed,7727.6595111623765,Moderate,Primary,Yes
444,Unemployed,4944.861968305926,Moderate,Primary,Yes
445,Student,3430.3708290198,Poor,None,No
446,Student,9598.47894024697,Poor,Tertiary,Yes
447,Unemployed,5726.79628447714,Moderate,Tertiary,Yes
448,Unemployed,536.7513337705022,Good,Secondary,No
449,Employed,4484.577296049413,Poor,Secondary,No
450,Employed,5065.419164583134,Poor,Tertiary,No
451,Employed,435.10403472652627,Moderate,Tertiary,No
452,Unemployed,6860.5616560752005,Poor,Secondary,No
453,Unemployed,4884.036296087917,Poor,None,Yes
454,Employed,1224.8651755721398,Moderate,None,Yes
455,Student,3422.1110186846013,Moderate,Tertiary,Yes
456,Student,5056.844781767965,Moderate,Primary,No
457,Student,8736.880780763837,Moderate,Tertiary,No
458,Student,4667.293796855374,Good,Secondary,Yes
459,Unemployed,9047.125061912155,Moderate,None,Yes
460,Unemployed,7591.454650003371,Moderate,Secondary,Yes
461,Employed,6492.921397558467,Good,None,No
462,Student,6262.046632517132,Poor,None,No
463,Unemployed,7320.961367323829,Poor,Tertiary,Yes
464,Student,4489.4994179712285,Poor,Primary,No
465,Student,4281.473281207229,Good,Tertiary,No
466,Unemployed,2265.8200323419246,Moderate,Secondary,No
467,Unemployed,5625.659602395375,Poor,Primary,Yes
468,Unemployed,6973.368055380122,Moderate,Primary,Yes
469,Student,2729.8688601476756,Good,Primary,No
470,Unemployed,2390.3636869239854,Moderate,Primary,Yes
471,Employed,1943.5183309982453,Good,None,No
472,Employed,695.7452133416203,Poor,None,No
473,Student,9166.256418119661,Poor,None,No
474,Student,9099.916869364382,Poor,None,No
475,Unemployed,1610.3848800625356,Moderate,Secondary,No
476,Unemployed,8182.364083991745,Moderate,None,Yes
477,Unemployed,4029.388332531194,Moderate,None,Yes
478,Employed,5796.386175767644,Moderate,Secondary,Yes
479,Employed,5453.275302416907,Poor,Tertiary,Yes
480,Employed,6993.9729334153235,Moderate,Primary,No
481,Student,6104.795626949627,Good,Primary,Yes
482,Unemployed,2668.9101076789,Moderate,Primary,Yes
483,Unemployed,3858.7294650837994,Moderate,Primary,Yes
484,Unemployed,3697.323667775129,Moderate,None,No
485,Unemployed,9315.620897466742,Poor,Primary,No
486,Unemployed,540.5363654102639,Moderate,None,No
487,Student,7844.410351201913,Poor,Primary,Yes
488,Unemployed,4517.199429951124,Poor,Secondary,Yes
489,Student,7368.764032070736,Poor,Primary,Yes
490,Unemployed,3131.8494484374232,Moderate,Primary,Yes
491,Student,1080.1147464014293,Moderate,Secondary,No
492,Employed,8067.012824907731,Moderate,Primary,No
493,Employed,1130.1329030658733,Good,Secondary,No
494,Employed,8158.466545603086,Moderate,None,Yes
495,Employed,5397.034732922028,Poor,None,Yes
496,Employed,6830.602056454833,Good,Primary,No
497,Employed,2733.6761823069733,Poor,Tertiary,No
498,Student,6821.45762952705,Good,None,No
499,Student,8935.843606388595,Good,Primary,Yes
500,Student,1886.1052015435475,Good,Primary,No
501,Unemployed,8217.01254675697,Moderate,None,No
502,Student,5828.187671203415,Moderate,Primary,Yes
503,Employed,2215.4873824454917,Poor,None,No
504,Employed,8374.529096546179,Good,None,Yes
505,Unemployed,2324.3290262992473,Moderate,Tertiary,No
506,Student,8815.613350387133,Poor,None,No
507,Unemployed,3639.8645702882473,Moderate,Secondary,No
508,Student,7032.458825939027,Good,Secondary,Yes
509,Employed,7327.240236130422,Moderate,Primary,No
510,Student,5013.685719035803,Moderate,Tertiary,No
511,Unemployed,8392.691432808082,Poor,Secondary,Yes
512,Student,3760.5294333577835,Moderate,Primary,No
513,Employed,8543.137171576014,Poor,Tertiary,No
514,Student,5740.777306735427,Poor,Primary,Yes
515,Unemployed,514.3288613438981,Moderate,None,No
516,Unemployed,4563.820876088743,Poor,Tertiary,Yes
517,Student,8198.33263803371,Moderate,None,No
518,Unemployed,2717.631145796033,Poor,Primary,Yes
519,Student,7155.353761867846,Moderate,Tertiary,Yes
520,Unemployed,4565.434802097375,Moderate,Primary,No
521,Unemployed,3172.9213547205964,Moderate,Tertiary,No
522,Employed,8905.356670200945,Good,Primary,Yes
523,Student,4851.381062493251,Moderate,Tertiary,Yes
524,Unemployed,7569.284213778916,Good,Secondary,No
525,Unemployed,4689.533118941393,Moderate,Tertiary,Yes
526,Unemployed,3119.4070813321146,Moderate,None,No
527,Employed,9209.59487477104,Moderate,None,No
528,Unemployed,1439.2278395351548,Moderate,Primary,No
529,Unemployed,5847.862120199692,Poor,Primary,No
530,Employed,2048.569378530744,Poor,None,Yes
531,Student,1242.5507486041463,Poor,Secondary,Yes
532,Student,1045.2656638021576,Good,Tertiary,No
533,Unemployed,7696.63967781886,Good,Secondary,No
534,Employed,2690.1776025751956,Good,Primary,Yes
535,Student,5734.406755642938,Poor,Tertiary,Yes
536,Student,4977.577320044334,Poor,Primary,No
