infrastructure_key,road_quality,access_to_water,access_to_electricity,mobile_network_coverage,internet_coverage
112,Good,Limited,Partial Access,2G,Limited Access
113,Excellent,High,Full Access,2G,No Access
114,Poor,Limited,Full Access,2G,No Access
115,Good,High,Full Access,3G,No Access
116,Fair,Limited,Partial Access,3G,No Access
117,Poor,High,Partial Access,2G,No Access
118,Excellent,High,Full Access,5G,Full Access
119,Fair,Moderate,No Access,4G,Full Access
120,Fair,Moderate,Full Access,3G,Limited Access
121,Poor,Moderate,Full Access,4G,No Access
122,Fair,Limited,No Access,5G,Limited Access
123,Fair,Limited,Full Access,3G,Full Access
124,Poor,High,Partial Access,2G,No Access
125,Good,Moderate,No Access,3G,Limited Access
126,Excellent,Limited,No Access,3G,Limited Access
127,Fair,Moderate,Full Access,2G,Limited Access
128,Poor,Moderate,No Access,5G,Limited Access
129,Fair,Moderate,Full Access,4G,Full Access
130,Fair,Moderate,Partial Access,2G,Full Access
131,Good,Limited,No Access,4G,Limited Access
132,Good,Moderate,Partial Access,4G,Full Access
133,Excellent,High,Partial Access,5G,No Access
134,Excellent,Moderate,No Access,5G,Limited Access
135,Fair,Moderate,No Access,3G,No Access
136,Poor,Moderate,No Access,3G,No Access
137,Fair,Moderate,No Access,5G,Limited Access
138,Excellent,Limited,No Access,5G,No Access
139,Poor,Limited,No Access,2G,Limited Access
140,Excellent,Moderate,Full Access,2G,Limited Access
141,Poor,Limited,No Access,5G,Full Access
142,Poor,Limited,Full Access,3G,Limited Access
143,Excellent,Moderate,Partial Access,5G,Limited Access
144,Fair,High,Full Access,5G,Full Access
145,Fair,Limited,No Access,5G,Limited Access
146,Poor,Moderate,Partial Access,5G,Limited Access
147,Good,Limited,Full Access,4G,Limited Access
148,Good,Limited,Partial Access,5G,No Access
149,Fair,High,Partial Access,3G,Limited Access
150,Good,High,Partial Access,3G,Full Access
151,Good,Moderate,Partial Access,4G,No Access
152,Poor,High,Full Access,5G,Full Access
153,Excellent,High,No Access,2G,Full Access
154,Good,Limited,Full Access,4G,Full Access
155,Excellent,Moderate,Full Access,5G,Limited Access
156,Poor,High,Full Access,2G,Full Access
157,Good,Limited,Full Access,4G,No Access
158,Excellent,Limited,No Access,2G,Full Access
159,Excellent,High,Partial Access,3G,Limited Access
160,Poor,Moderate,Full Access,2G,Limited Access
161,Poor,Limited,Partial Access,2G,No Access
162,Excellent,Moderate,Full Access,3G,Full Access
163,Fair,High,Full Access,4G,Full Access
164,Good,Moderate,No Access,2G,Full Access
165,Good,High,No Access,4G,No Access
166,Excellent,High,No Access,3G,Full Access
167,Fair,Moderate,No Access,5G,No Access
168,Good,Moderate,Full Access,3G,Limited Access
169,Fair,Moderate,No Access,4G,No Access
170,Excellent,High,No Access,2G,No Access
171,Good,Limited,Partial Access,5G,Limited Access
172,Poor,High,Full Access,2G,No Access
173,Good,Moderate,Full Access,3G,Limited Access
174,Poor,Limited,No Access,4G,Limited Access
175,Excellent,Limited,Partial Access,4G,Full Access
176,Fair,Moderate,No Access,4G,Limited Access
177,Excellent,Moderate,Full Access,3G,No Access
178,Excellent,Moderate,Partial Access,5G,No Access
179,Fair,Moderate,Full Access,5G,Limited Access
180,Good,Moderate,No Access,4G,Full Access
181,Poor,High,No Access,5G,No Access
182,Excellent,Moderate,Full Access,3G,No Access
183,Fair,Limited,Partial Access,4G,Limited Access
184,Excellent,Moderate,Partial Access,4G,Limited Access
185,Poor,Moderate,Partial Access,3G,No Access
186,Poor,Limited,No Access,3G,No Access
187,Fair,Moderate,Partial Access,3G,Full Access
188,Fair,Limited,Partial Access,3G,No Access
189,Poor,Moderate,Partial Access,3G,Full Access
190,Good,Limited,No Access,5G,Full Access
191,Excellent,Limited,Full Access,3G,Full Access
192,Excellent,Moderate,No Access,2G,Full Access
193,Excellent,High,No Access,3G,Limited Access
194,Poor,High,Full Access,2G,Full Access
195,Poor,Moderate,Partial Access,3G,Full Access
196,Poor,Limited,Partial Access,5G,Limited Access
197,Excellent,Moderate,Partial Access,3G,No Access
198,Poor,Limited,Partial Access,3G,Full Access
199,Excellent,Moderate,Full Access,3G,No Access
200,Poor,Moderate,Full Access,2G,Full Access
201,Poor,Moderate,No Access,4G,Limited Access
202,Good,High,Partial Access,4G,No Access
203,Good,Moderate,No Access,4G,No Access
204,Fair,High,Partial Access,2G,Limited Access
205,Poor,Limited,Full Access,2G,Full Access
206,Excellent,Limited,Full Access,2G,Limited Access
207,Poor,Limited,No Access,4G,Full Access
208,Poor,Moderate,Partial Access,4G,No Access
209,Fair,High,No Access,3G,Full Access
210,Fair,Moderate,No Access,4G,Limited Access
211,Poor,Limited,Partial Access,4G,No Access
212,Fair,Moderate,Partial Access,4G,Full Access
213,Poor,High,No Access,5G,Limited Access
214,Excellent,High,Full Access,3G,Limited Access
215,Poor,Limited,Partial Access,3G,Full Access
216,Good,Moderate,No Access,5G,Limited Access
217,Poor,High,Partial Access,3G,No Access
218,Fair,Limited,Partial Access,2G,Limited Access
219,Good,Limited,Partial Access,5G,No Access
220,Excellent,Limited,No Access,3G,Limited Access
221,Poor,High,Full Access,5G,Limited Access
222,Poor,Limited,Full Access,3G,Limited Access
223,Excellent,Limited,Full Access,4G,Full Access
224,Fair,Moderate,Partial Access,3G,No Access
225,Good,High,No Access,3G,Full Access
226,Poor,High,Partial Access,4G,Limited Access
227,Excellent,Moderate,Partial Access,5G,Limited Access
228,Good,Limited,Partial Access,5G,Limited Access
229,Poor,Moderate,Partial Access,3G,Full Access
230,Good,High,Partial Access,2G,No Access
231,Excellent,Limited,No Access,4G,No Access
232,Good,Limited,No Access,4G,Full Access
233,Good,High,Full Access,4G,Limited Access
234,Good,Moderate,Full Access,3G,No Access
235,Good,Limited,No Access,5G,Full Access
236,Poor,High,Partial Access,5G,Full Access
237,Fair,High,Full Access,3G,Limited Access
238,Fair,Moderate,Full Access,3G,No Access
239,Fair,Limited,No Access,4G,No Access
240,Good,High,Full Access,4G,Full Access
241,Good,High,No Access,4G,Full Access
242,Poor,High,Full Access,4G,Limited Access
243,Excellent,Moderate,Partial Access,3G,Full Access
244,Good,Limited,Partial Access,5G,Full Access
245,Poor,Moderate,No Access,4G,Full Access
246,Good,High,Partial Access,5G,Full Access
247,Excellent,Moderate,No Access,4G,No Access
248,Excellent,Limited,Partial Access,4G,Limited Access
249,Fair,Limited,No Access,5G,Limited Access
250,Poor,Limited,No Access,5G,Full Access
251,Fair,Moderate,Full Access,4G,Full Access
252,Excellent,Moderate,No Access,2G,Full Access
253,Fair,High,Partial Access,3G,No Access
254,Fair,High,No Access,2G,Full Access
255,Excellent,Moderate,Partial Access,2G,Full Access
256,Good,Moderate,Partial Access,5G,Limited Access
257,Excellent,High,Full Access,2G,Limited Access
258,Good,Limited,Full Access,2G,Full Access
259,Poor,Moderate,Full Access,5G,Full Access
260,Poor,Limited,Full Access,3G,Limited Access
261,Excellent,Moderate,No Access,3G,Limited Access
262,Good,Moderate,Partial Access,4G,Full Access
263,Good,High,No Access,2G,No Access
264,Fair,Limited,Full Access,5G,Full Access
265,Good,Moderate,Full Access,3G,Limited Access
266,Fair,Moderate,No Access,2G,Limited Access
267,Good,Limited,No Access,3G,No Access
268,Poor,Limited,No Access,4G,Limited Access
269,Poor,Moderate,Partial Access,4G,Limited Access
270,Poor,High,No Access,5G,Full Access
271,Excellent,High,No Access,4G,No Access
272,Good,High,No Access,4G,Limited Access
273,Fair,High,Partial Access,5G,Full Access
274,Excellent,High,Full Access,5G,Limited Access
275,Good,Limited,Full Access,4G,Limited Access
276,Excellent,Limited,Full Access,5G,No Access
277,Poor,High,Partial Access,5G,No Access
278,Excellent,Limited,No Access,2G,Full Access
279,Excellent,Moderate,Partial Access,3G,No Access
280,Excellent,High,Partial Access,2G,No Access
281,Excellent,Moderate,No Access,5G,Full Access
282,Excellent,Moderate,Partial Access,5G,Limited Access
283,Poor,High,No Access,3G,Limited Access
284,Fair,Moderate,Full Access,4G,No Access
285,Good,Limited,Partial Access,4G,Limited Access
286,Poor,Moderate,Full Access,2G,Full Access
287,Good,Limited,Partial Access,3G,Full Access
288,Good,High,Full Access,2G,Full Access
289,Fair,High,Partial Access,5G,Full Access
290,Good,Moderate,No Access,2G,Full Access
291,Good,Limited,Full Access,3G,Limited Access
292,Excellent,Moderate,Partial Access,5G,Limited Access
293,Good,High,Full Access,3G,Full Access
294,Poor,Moderate,No Access,4G,Full Access
295,Good,High,Partial Access,4G,No Access
296,Fair,Limited,No Access,5G,Limited Access
297,Good,Moderate,No Access,4G,Full Access
298,Poor,Limited,Full Access,4G,Full Access
299,Poor,Limited,No Access,2G,Limited Access
300,Good,Moderate,No Access,4G,No Access
301,Fair,Moderate,No Access,4G,Full Access
302,Good,High,Full Access,3G,Limited Access
303,Poor,Limited,No Access,5G,No Access
304,Good,Moderate,No Access,4G,Full Access
305,Poor,Limited,No Access,4G,Full Access
306,Excellent,Moderate,Full Access,4G,Limited Access
307,Fair,Limited,No Access,3G,No Access
308,Fair,Limited,No Access,5G,No Access
309,Good,High,Partial Access,2G,No Access
310,Excellent,Moderate,Full Access,4G,Limited Access
311,Good,Limited,Full Access,5G,Limited Access
312,Poor,Limited,Full Access,4G,Full Access
313,Fair,High,Full Access,4G,Full Access
314,Fair,Limited,No Access,4G,Limited Access
315,Excellent,Moderate,No Access,2G,Limited Access
316,Poor,Limited,Full Access,4G,Full Access
317,Poor,High,Partial Access,5G,Full Access
318,Poor,High,Full Access,4G,Limited Access
319,Good,Moderate,Partial Access,4G,Full Access
320,Poor,Limited,No Access,2G,Limited Access
321,Fair,Moderate,Full Access,4G,No Access
322,Excellent,Limited,Full Access,2G,Limited Access
323,Good,High,Full Access,3G,Limited Access
324,Fair,Limited,Partial Access,3G,No Access
325,Good,Moderate,Partial Access,3G,No Access
326,Excellent,Moderate,Full Access,4G,No Access
327,Poor,High,No Access,2G,Full Access
328,Poor,Moderate,Full Access,4G,Full Access
329,Fair,Limited,Full Access,5G,No Access
330,Poor,High,Full Access,5G,Full Access
331,Good,High,No Access,2G,Limited Access
332,Poor,High,Full Access,2G,No Access
333,Poor,High,Partial Access,5G,No Access
334,Excellent,Moderate,Partial Access,4G,Full Access
335,Fair,Moderate,Partial Access,4G,Limited Access
336,Fair,High,Full Access,2G,Full Access
337,Fair,Moderate,No Access,2G,Limited Access
338,Fair,Moderate,Full Access,4G,Limited Access
339,Excellent,High,Partial Access,2G,Full Access
340,Fair,Limited,Full Access,5G,Full Access
341,Good,Limited,No Access,5G,No Access
342,Fair,High,No Access,2G,Full Access
343,Fair,High,Full Access,4G,Full Access
344,Excellent,Limited,Partial Access,5G,Full Access
345,Good,Moderate,No Access,4G,No Access
346,Excellent,High,No Access,2G,Limited Access
347,Poor,Moderate,No Access,2G,Full Access
348,Poor,Moderate,Full Access,4G,No Access
349,Fair,High,Full Access,5G,Full Access
350,Good,Limited,No Access,2G,No Access
351,Poor,Moderate,No Access,2G,Limited Access
352,Fair,Moderate,Full Access,3G,Full Access
353,Fair,Limited,No Access,5G,No Access
354,Poor,High,Full Access,5G,Limited Access
355,Poor,Limited,Full Access,3G,Limited Access
356,Excellent,High,Full Access,3G,Limited Access
357,Fair,High,No Access,4G,No Access
358,Fair,High,No Access,2G,No Access
359,Poor,High,No Access,3G,No Access
360,Fair,Limited,Partial Access,4G,Limited Access
361,Fair,High,No Access,3G,Full Access
362,Good,High,Partial Access,5G,No Access
363,Good,Limited,Partial Access,4G,No Access
364,Poor,Moderate,Partial Access,5G,No Access
365,Excellent,Moderate,Full Access,4G,Limited Access
366,Excellent,Limited,Partial Access,5G,No Access
367,Poor,Limited,No Access,4G,Full Access
368,Excellent,High,Partial Access,3G,No Access
369,Excellent,Moderate,Full Access,3G,No Access
370,Excellent,Moderate,No Access,2G,Full Access
371,Poor,Limited,Partial Access,4G,Full Access
372,Excellent,High,Full Access,4G,Full Access
373,Poor,High,No Access,2G,Limited Access
374,Excellent,Moderate,Full Access,4G,Full Access
375,Poor,High,Partial Access,5G,Limited Access
376,Poor,Limited,No Access,3G,Full Access
377,Excellent,High,Full Access,4G,Full Access
378,Fair,High,No Access,3G,No Access
379,Fair,High,Full Access,5G,No Access
380,Fair,Moderate,Full Access,3G,Full Access
381,Fair,High,Full Access,4G,Limited Access
382,Good,Moderate,Partial Access,3G,Full Access
383,Poor,Moderate,No Access,2G,Full Access
384,Fair,Limited,No Access,4G,Full Access
385,Fair,High,Partial Access,3G,No Access
386,Good,High,Full Access,2G,Limited Access
387,Fair,High,Partial Access,2G,Full Access
388,Poor,High,Partial Access,5G,Limited Access
389,Good,Moderate,Partial Access,2G,No Access
390,Fair,Limited,Partial Access,4G,Full Access
391,Good,High,Partial Access,3G,Full Access
392,Excellent,High,Partial Access,5G,Limited Access
393,Fair,Limited,Full Access,3G,Full Access
394,Excellent,Limited,Partial Access,5G,Limited Access
395,Fair,High,Full Access,4G,No Access
396,Good,Moderate,Full Access,5G,Full Access
397,Good,Moderate,Partial Access,3G,Full Access
398,Poor,High,No Access,4G,Limited Access
399,Good,Moderate,No Access,5G,Full Access
400,Poor,Moderate,No Access,4G,Full Access
401,Good,High,Full Access,4G,No Access
402,Poor,Moderate,Full Access,5G,Full Access
403,Good,High,Partial Access,5G,Full Access
404,Excellent,Limited,Full Access,2G,Limited Access
405,Excellent,Moderate,No Access,4G,Limited Access
406,Poor,Moderate,Full Access,2G,Limited Access
407,Excellent,High,Partial Access,4G,Limited Access
408,Fair,Moderate,No Access,5G,Limited Access
409,Fair,Limited,No Access,4G,Limited Access
410,Poor,High,No Access,5G,Limited Access
411,Fair,Limited,Partial Access,4G,Full Access
412,Good,Limited,Full Access,3G,No Access
413,Good,Limited,Partial Access,3G,No Access
414,Excellent,High,No Access,2G,Full Access
415,Fair,High,No Access,2G,No Access
416,Poor,Limited,Full Access,4G,Full Access
417,Excellent,Limited,Partial Access,2G,No Access
418,Fair,Limited,Partial Access,4G,Full Access
419,Excellent,Limited,Full Access,4G,Limited Access
420,Fair,Moderate,Full Access,4G,No Access
421,Excellent,Moderate,Full Access,5G,Full Access
422,Poor,Moderate,Partial Access,4G,Full Access
423,Fair,Limited,Partial Access,3G,Full Access
424,Excellent,Limited,Partial Access,2G,No Access
425,Good,Moderate,Partial Access,3G,No Access
426,Excellent,High,Full Access,4G,Limited Access
427,Fair,Moderate,Full Access,2G,Full Access
428,Fair,Moderate,No Access,4G,Full Access
429,Fair,Limited,Partial Access,3G,No Access
430,Fair,High,Partial Access,2G,Limited Access
431,Fair,High,Full Access,5G,Full Access
432,Fair,Limited,No Access,5G,Limited Access
433,Good,Moderate,Partial Access,3G,Limited Access
434,Fair,Limited,Full Access,2G,No Access
435,Excellent,High,No Access,4G,Limited Access
436,Fair,High,Full Access,4G,Limited Access
437,Excellent,Moderate,Full Access,3G,No Access
438,Fair,High,Full Access,5G,No Access
439,Excellent,Limited,Partial Access,2G,No Access
440,Poor,High,Partial Access,3G,Limited Access
441,Fair,Limited,No Access,4G,No Access
442,Good,Limited,No Access,4G,No Access
443,Good,High,No Access,3G,No Access
444,Poor,High,Full Access,2G,Full Access
445,Good,High,No Access,2G,Limited Access
446,Good,High,Full Access,5G,Full Access
447,Fair,Limited,Partial Access,3G,Full Access
448,Excellent,High,Full Access,4G,Full Access
449,Good,Moderate,No Access,5G,Full Access
450,Excellent,Limited,Partial Access,3G,Limited Access
451,Good,High,No Access,5G,No Access
452,Poor,High,Full Access,4G,No Access
453,Good,High,Full Access,3G,Full Access
454,Good,Limited,No Access,5G,Full Access
455,Excellent,Limited,No Access,4G,Limited Access
456,Good,Moderate,Partial Access,4G,Limited Access
457,Poor,Moderate,No Access,2G,Full Access
458,Excellent,High,No Access,5G,Full Access
459,Excellent,High,Partial Access,2G,Full Access
460,Good,High,No Access,2G,No Access
461,Fair,Limited,No Access,3G,Full Access
462,Good,High,Partial Access,4G,Full Access
463,Good,Limited,Full Access,3G,Limited Access
464,Poor,Limited,Full Access,3G,Full Access
465,Poor,Limited,No Access,3G,Full Access
466,Good,Moderate,Partial Access,4G,Limited Access
467,Excellent,Limited,Full Access,4G,No Access
468,Good,High,No Access,2G,No Access
469,Poor,Limited,Partial Access,4G,Limited Access
470,Excellent,Limited,Full Access,4G,Limited Access
471,Good,High,Full Access,2G,Limited Access
472,Fair,Moderate,Partial Access,4G,Full Access
473,Good,Moderate,Full Access,5G,Limited Access
474,Fair,High,Full Access,2G,No Access
475,Fair,High,Partial Access,2G,No Access
476,Fair,Limited,No Access,5G,Limited Access
477,Fair,High,Partial Access,3G,Limited Access
478,Good,Moderate,Partial Access,2G,Limited Access
479,Good,Moderate,Partial Access,2G,Full Access
480,Good,Limited,No Access,3G,Full Access
481,Fair,High,Partial Access,2G,No Access
482,Good,High,No Access,2G,Limited Access
483,Good,High,Full Access,2G,No Access
484,Poor,Limited,Partial Access,2G,Full Access
485,Good,Moderate,Full Access,4G,No Access
486,Good,Moderate,Partial Access,2G,Limited Access
487,Poor,High,No Access,3G,Full Access
488,Excellent,Limited,Partial Access,4G,Full Access
489,Excellent,Moderate,Partial Access,5G,Full Access
490,Good,Limited,No Access,2G,No Access
491,Good,Moderate,No Access,4G,No Access
492,Excellent,High,Full Access,5G,Limited Access
493,Fair,Limited,Full Access,2G,Limited Access
494,Poor,Limited,No Access,3G,No Access
495,Good,Limited,No Access,3G,No Access
496,Excellent,Limited,Partial Access,4G,Full Access
497,Poor,Moderate,Partial Access,2G,Limited Access
498,Excellent,High,Full Access,3G,Full Access
499,Excellent,Limited,Full Access,2G,Limited Access
500,Fair,Limited,Full Access,2G,No Access
501,Good,Moderate,No Access,2G,No Access
502,Poor,Limited,Full Access,4G,Full Access
503,Poor,Moderate,Partial Access,4G,Full Access
504,Excellent,Limited,Full Access,3G,Full Access
505,Fair,Limited,Partial Access,5G,No Access
506,Fair,Limited,Full Access,2G,Full Access
507,Poor,High,Full Access,5G,Full Access
508,Good,Limited,No Access,3G,Limited Access
509,Fair,High,Full Access,3G,Limited Access
510,Excellent,High,Partial Access,5G,Limited Access
511,Excellent,Limited,No Access,2G,Full Access
512,Poor,Limited,Partial Access,3G,Full Access
513,Good,Limited,Full Access,5G,Full Access
514,Good,Limited,Full Access,2G,Limited Access
515,Excellent,Moderate,Partial Access,3G,Full Access
516,Fair,Limited,Full Access,4G,No Access
517,Good,High,No Access,3G,Limited Access
518,Good,High,Full Access,5G,Full Access
519,Fair,High,Partial Access,5G,Limited Access
520,Excellent,High,No Access,5G,Limited Access
521,Poor,Limited,Partial Access,2G,Limited Access
522,Good,Limited,Full Access,4G,No Access
523,Fair,High,No Access,2G,No Access
524,Fair,Limited,Partial Access,3G,Limited Access
525,Poor,Limited,Full Access,5G,Limited Access
526,Good,Limited,Full Access,2G,No Access
527,Excellent,Limited,No Access,3G,Full Access
528,Fair,Moderate,Partial Access,2G,Limited Access
529,Poor,High,Full Access,2G,Limited Access
530,Poor,Limited,Full Access,2G,No Access
531,Fair,High,Full Access,2G,No Access
532,Poor,High,Full Access,4G,Limited Access
533,Excellent,Moderate,No Access,4G,Full Access
534,Poor,Moderate,No Access,3G,Limited Access
535,Fair,Limited,Full Access,4G,Full Access
536,Fair,Limited,No Access,4G,No Access
537,Poor,Limited,Full Access,2G,Limited Access
538,Fair,Limited,Partial Access,2G,No Access
539,Good,Limited,Full Access,3G,No Access
540,Fair,Moderate,Full Access,4G,Full Access
541,Poor,High,Full Access,2G,Limited Access
542,Poor,Moderate,Full Access,3G,Full Access
543,Good,Moderate,No Access,4G,No Access
544,Fair,Limited,Full Access,4G,Limited Access
545,Fair,Limited,Full Access,5G,Limited Access
546,Good,High,Full Access,5G,Limited Access
547,Good,Moderate,Full Access,4G,Limited Access
548,Excellent,High,Partial Access,4G,Limited Access
549,Poor,Limited,No Access,5G,Full Access
550,Fair,Limited,Full Access,5G,Limited Access
551,Poor,High,No Access,3G,Full Access
552,Fair,High,Partial Access,5G,Full Access
553,Excellent,Limited,Partial Access,2G,Full Access
554,Fair,Limited,Partial Access,2G,No Access
555,Poor,High,Partial Access,5G,No Access
556,Fair,High,Full Access,2G,Limited Access
557,Good,High,Partial Access,5G,Limited Access
558,Poor,Moderate,No Access,4G,No Access
559,Poor,Limited,Partial Access,5G,Limited Access
560,Poor,Moderate,Full Access,5G,No Access
561,Fair,High,No Access,5G,Full Access
562,Fair,Limited,Partial Access,3G,Limited Access
563,Excellent,High,Full Access,3G,Full Access
564,Fair,Moderate,Partial Access,5G,Limited Access
565,Good,High,Full Access,5G,Limited Access
566,Excellent,Limited,No Access,3G,No Access
567,Fair,Limited,No Access,2G,No Access
568,Good,High,No Access,3G,No Access
569,Good,Limited,Full Access,5G,Full Access
570,Fair,Moderate,Partial Access,5G,Full Access
571,Fair,Limited,Full Access,5G,No Access
572,Excellent,High,Partial Access,3G,Limited Access
573,Poor,High,No Access,4G,No Access
574,Fair,Moderate,Full Access,4G,No Access
575,Fair,Limited,Full Access,4G,Limited Access
576,Fair,Limited,No Access,4G,No Access
577,Good,Limited,Full Access,2G,Full Access
578,Poor,High,Full Access,5G,Full Access
579,Poor,Moderate,Full Access,5G,Limited Access
580,Excellent,Limited,Full Access,3G,No Access
581,Excellent,Limited,No Access,5G,Limited Access
582,Poor,Limited,No Access,3G,No Access
583,Poor,Limited,No Access,4G,Full Access
584,Fair,High,Partial Access,5G,Full Access
585,Excellent,Moderate,No Access,4G,No Access
586,Poor,Moderate,Full Access,4G,No Access
587,Excellent,Limited,Partial Access,4G,Full Access
588,Poor,High,Full Access,4G,No Access
589,Good,Limited,Partial Access,3G,No Access
590,Poor,Moderate,No Access,4G,Full Access
591,Excellent,Moderate,No Access,2G,No Access
592,Good,Limited,Full Access,4G,Limited Access
593,Fair,Limited,No Access,4G,Full Access
594,Good,High,No Access,2G,No Access
595,Excellent,Limited,Full Access,5G,Limited Access
596,Poor,High,Partial Access,3G,No Access
597,Good,Moderate,No Access,3G,Full Access
598,Fair,Limited,Partial Access,2G,Full Access
599,Poor,High,Full Access,4G,Limited Access
600,Good,Limited,No Access,3G,No Access
601,Poor,Moderate,No Access,2G,Full Access
602,Good,High,No Access,4G,No Access
603,Poor,High,No Access,5G,No Access
604,Fair,Limited,Full Access,3G,No Access
605,Fair,Moderate,Full Access,3G,Full Access
606,Excellent,High,Partial Access,2G,Limited Access
607,Excellent,Limited,Partial Access,3G,No Access
608,Poor,Moderate,No Access,3G,Full Access
609,Poor,Limited,Full Access,5G,Full Access
610,Excellent,High,Partial Access,2G,Full Access
611,Good,Limited,Partial Access,4G,No Access
612,Good,Limited,No Access,4G,Full Access
613,Poor,Moderate,Partial Access,4G,Full Access
614,Poor,Moderate,Full Access,4G,Full Access
615,Excellent,Limited,No Access,2G,Full Access
