facility_key,facility_name,facility_type,number_of_beds,number_of_nurses,number_of_doctors,distance_to_community,facility_location_key
44,"West, Henderson and Ramirez",Maternity Home,250,52,27,1.4400521105401554,4052
45,Baxter Inc,Clinic,491,8,47,12.832468757041127,3577
46,Morton-Chase,Hospital,139,82,15,15.151712819849518,7836
47,Williams PLC,Clinic,389,85,17,27.208210038349034,8096
48,Novak and Sons,Clinic,206,25,3,14.281281629863198,6654
49,Russell Group,Clinic,25,84,10,4.36211102243068,2293
50,Hancock Inc,Hospital,83,94,25,8.749837217466762,4880
51,Gray Group,Clinic,162,13,21,20.19864143318161,7206
52,House-Glover,Maternity Home,98,70,40,3.452262725660652,1139
53,Henderson-Bernard,Clinic,12,83,9,7.0291087532953895,2546
54,"Stanley, Tucker and Lee",Hospital,476,39,24,29.87373592002072,9553
55,Novak PLC,Hospital,343,92,32,0.2654836702992717,3191
56,"Daniels, Adkins and Brown",Hospital,263,55,3,4.650281064577484,8248
57,"Woods, Calhoun and Schmidt",Maternity Home,59,82,33,25.326206653681783,4520
58,Yu Inc,Maternity Home,403,41,43,3.1313224943669344,4978
59,Jones Inc,Hospital,40,10,45,1.1058660669784524,6705
60,"Hensley, Powell and David",Hospital,10,86,12,3.727237885197326,6192
61,"Sanchez, Wheeler and Harvey",Hospital,381,90,29,20.83855594206489,5766
62,Sandoval-Cunningham,Clinic,46,86,21,29.79400490150121,8430
63,Donovan-Harris,Hospital,54,55,39,17.760003417259657,3040
64,"Edwards, Baker and Anderson",Clinic,116,70,34,3.8170564448637068,8581
65,"Evans, Stewart and Walton",Maternity Home,150,21,33,5.594985251740875,8877
66,Smith PLC,Clinic,234,69,32,16.17669205575314,3984
67,"Ferrell, Jones and Lewis",Clinic,215,13,20,21.49817979684994,187
68,Anderson-Bailey,Maternity Home,310,17,3,19.921074264945272,3429
69,Suarez LLC,Maternity Home,34,62,4,17.28432229990064,7759
70,Moore-Bass,Clinic,465,34,17,29.589466297205455,6755
71,"Turner, Riggs and Roman",Maternity Home,299,35,17,6.021215110575956,3389
72,"Smith, Montoya and Evans",Maternity Home,120,27,19,5.269829332977234,5070
73,"Garcia, Humphrey and Baker",Clinic,400,67,4,25.785930191509987,2935
74,Newton and Sons,Maternity Home,230,32,29,8.795569708118817,4372
75,Campbell-Clark,Hospital,63,63,17,10.042538677196735,6935
76,Harris-Walters,Maternity Home,80,14,22,16.50517738583053,5988
77,Wagner-King,Hospital,432,93,2,11.500116498658127,6860
78,Davis Group,Hospital,220,94,42,8.700448912012101,3970
79,Williams-Cook,Maternity Home,136,30,12,27.52354031129633,2752
80,Walsh LLC,Hospital,424,81,45,3.9652989677632537,8174
81,Figueroa PLC,Clinic,308,21,11,12.188264523808739,1576
82,"Patterson, Smith and Jones",Hospital,402,44,40,0.1887150554436799,6504
83,"Mckee, Gardner and Davenport",Maternity Home,85,72,29,24.242864432974738,1260
84,"Tran, Jordan and Williams",Hospital,309,27,20,5.135723498268879,1057
85,Nolan-Flynn,Clinic,71,39,5,23.212400904794947,5661
86,Nolan and Sons,Maternity Home,234,79,25,4.543233122896505,8737
87,"Wright, Garcia and Deleon",Clinic,475,80,34,12.56049154077634,6244
88,Dickson-Brady,Maternity Home,337,13,12,21.87272966123718,6801
89,Hancock and Sons,Maternity Home,397,83,28,8.197183214926989,330
90,Johnson-Doyle,Hospital,281,49,34,9.486122055720827,2170
91,Patton-Jenkins,Clinic,365,41,6,20.05294259382313,9771
92,"Shields, Cochran and Adams",Hospital,76,73,19,5.712259410604668,3007
93,"Rodriguez, Brennan and Garrison",Hospital,213,23,12,28.558353040791022,5841
94,Gonzalez Group,Maternity Home,276,79,25,5.744751757302906,7146
95,Torres-Pope,Hospital,148,77,13,22.524864265687523,2524
96,Walker Ltd,Hospital,255,31,17,24.097706191282473,4223
97,Ross LLC,Clinic,288,17,12,11.293676144262372,2916
98,Rasmussen LLC,Clinic,183,61,3,4.771550306064366,9965
99,May-Ross,Clinic,444,64,24,5.0605151248194105,5675
100,"Rivera, Johnson and Wiley",Maternity Home,84,16,8,29.56496588386981,1957
101,White-Estes,Hospital,61,13,48,21.789757102619213,6190
102,Johnson-Carlson,Hospital,370,96,36,13.556418357074724,2073
103,Chandler-Edwards,Clinic,312,81,26,7.794758696039985,873
104,"Joyce, Wilson and Lam",Hospital,178,88,45,0.6654126700664784,7498
105,Scott Ltd,Hospital,466,81,8,20.14686931812867,6005
106,Smith-Frost,Hospital,242,31,32,28.711798765752985,6438
107,"Mcdaniel, Bentley and Mclaughlin",Clinic,496,94,32,3.2946119112338135,7334
108,Diaz Inc,Clinic,170,67,1,22.65928829078672,8449
109,"Mccall, Hanson and Alvarado",Maternity Home,88,97,3,4.681782929071754,4918
110,Cortez LLC,Clinic,497,33,1,23.78394496152236,4033
111,"Parker, Ortiz and Powell",Maternity Home,52,26,15,11.180128068455431,3261
112,Spencer-Lee,Clinic,131,77,20,21.39064117197056,7167
113,"Bentley, Byrd and Orr",Hospital,173,92,3,27.79584388976154,8886
114,"Carroll, Sullivan and Bass",Clinic,358,23,15,18.642161928171614,7443
115,Mitchell-Jordan,Maternity Home,378,42,37,27.628900826143646,4038
116,"Lawson, Morris and Ramos",Hospital,447,99,21,7.127228840931242,7202
117,"Lewis, Kennedy and Santana",Hospital,353,43,42,29.346200902022442,556
118,"Jackson, Miller and Robertson",Maternity Home,71,19,39,26.19815735202135,5610
119,"Harvey, Davis and Crane",Maternity Home,334,58,23,3.316442690814506,6643
120,Chambers and Sons,Clinic,344,36,40,12.464838357575431,9470
121,Hernandez Inc,Hospital,198,50,35,27.81818276899368,5229
122,Riggs PLC,Clinic,159,65,18,2.435649408266691,9140
123,Gibson Ltd,Clinic,164,97,17,13.667506597670975,4581
124,"Lee, Horton and Snyder",Hospital,188,56,31,21.73545348323609,4374
125,Hernandez Ltd,Clinic,270,38,48,1.100074566978497,398
126,Stafford Inc,Clinic,172,77,26,22.609644028811758,222
127,Robinson-Brock,Hospital,149,39,22,10.899957075696632,2366
128,"Holmes, Williams and Wright",Maternity Home,190,74,45,7.556217315307629,1778
129,Bryant Group,Maternity Home,378,41,36,17.321570304007906,4061
130,"Schmidt, Hansen and Stewart",Hospital,357,82,35,16.37550337750772,3955
131,Salazar-Ball,Hospital,266,65,11,26.230784657377427,5729
132,"Simmons, Meadows and Griffin",Clinic,427,53,27,20.312487778612073,775
133,Manning Group,Hospital,499,13,34,12.71374382339389,340
134,Green-Wright,Maternity Home,278,23,18,19.53913851796551,7
135,"Ramirez, Strickland and Washington",Clinic,461,91,27,22.529426251587925,1297
136,Hill Inc,Clinic,332,32,4,28.12612454544159,288
137,"Mitchell, Nelson and Flores",Hospital,349,84,17,21.15742154979708,893
138,"Miller, Hernandez and Reyes",Hospital,227,30,6,16.36178343124204,6991
139,Mccarthy Inc,Hospital,46,42,42,11.252104479894111,8909
140,Russell-Daniels,Clinic,8,44,11,26.75536060525104,4280
141,Brown-Wall,Maternity Home,280,29,5,23.796337075823093,1854
142,Stein-Silva,Maternity Home,288,73,18,2.407719889900044,570
143,"Smith, Gilmore and Johnston",Maternity Home,428,75,25,21.016282026572537,4719
144,Smith-Bell,Hospital,197,27,10,16.20861242292073,8835
145,Castaneda-Ashley,Maternity Home,108,93,41,3.198953407022144,3673
146,Medina-Navarro,Maternity Home,251,69,16,16.992330433184108,6992
147,"Hurst, Freeman and Nelson",Hospital,304,26,10,5.85592740107549,6774
148,Johnson-Rogers,Hospital,27,68,10,21.273532048719936,2552
149,"Yates, Ramsey and Pittman",Maternity Home,445,72,36,8.42599305591496,110
150,Hooper PLC,Maternity Home,307,62,21,4.595283616632151,3651
151,Meadows PLC,Maternity Home,17,32,14,2.5509902767042694,3220
152,"Alvarado, Miller and Patterson",Clinic,148,82,8,14.774903936337678,732
153,White-Green,Hospital,222,72,1,6.0690797454110905,5694
154,Lewis-Murphy,Clinic,187,79,16,25.668322316959276,8760
155,Ramirez-Bean,Maternity Home,355,8,26,0.18973303750563922,5557
156,King-Miller,Maternity Home,246,5,49,25.32479980916749,7105
157,Curry Inc,Clinic,197,30,42,15.680662934586323,9550
158,Walker-Jones,Clinic,469,37,6,27.67215177630482,7264
159,"Williams, Johnson and Wright",Maternity Home,276,85,39,6.21787659327354,1072
160,Howell and Sons,Hospital,379,31,2,3.15798658305008,7974
161,Wells Inc,Clinic,169,46,9,18.786250455909595,7446
162,"Gould, Marshall and Scott",Clinic,184,73,5,21.231149850244325,5072
163,Jackson-Lawson,Maternity Home,121,75,40,11.240293282150052,7371
164,"Higgins, Strickland and Martin",Clinic,270,68,5,0.5090371904567121,2247
165,Rodriguez-Johnson,Clinic,382,29,47,12.268177506348263,1921
166,Johnston-Odonnell,Hospital,42,76,8,7.090229036913615,6013
167,Sanders-Espinoza,Clinic,48,8,5,10.489342277219613,8316
168,Vargas Ltd,Maternity Home,355,16,5,15.251958312043593,6344
169,Garcia LLC,Hospital,78,62,17,21.10002069584981,75
170,"Burke, Martinez and Riggs",Clinic,442,99,9,28.90043606121849,1989
171,Reed Group,Maternity Home,373,15,34,4.4055953472031035,8349
172,"Wood, Hunter and Peterson",Hospital,230,63,33,20.428992853087,7288
173,Short-Garcia,Maternity Home,311,40,22,7.073022409226023,3084
174,Reid-Poole,Maternity Home,312,26,21,6.699070642314081,3819
175,"Hernandez, Thompson and Boyd",Hospital,458,69,43,19.04326698442247,3692
176,"Nelson, Morton and Medina",Hospital,352,54,15,23.302385688773775,5240
177,Marshall-Petersen,Maternity Home,480,8,1,29.335832568038942,8275
178,"Adams, Christian and Rivas",Hospital,319,76,7,23.088041226406304,3066
179,Ramirez Group,Hospital,17,93,23,4.803717550076253,7955
180,Christensen PLC,Maternity Home,429,96,47,6.839539424176077,2234
181,"Barnett, Rogers and Snyder",Clinic,16,56,6,22.8655518781502,9977
182,White-Lewis,Maternity Home,54,47,20,15.856938323690082,2091
183,Peterson-Beard,Clinic,492,50,26,8.932699600628261,5629
184,"Beard, Peters and Black",Maternity Home,317,8,42,14.206319065159708,4169
185,Miller Ltd,Hospital,438,17,12,27.455151845278618,4013
186,Freeman-Chang,Clinic,253,42,13,22.69242109341224,1878
187,"Alvarez, Joseph and West",Maternity Home,123,49,47,13.57586251945329,7187
188,Davis and Sons,Maternity Home,61,29,49,29.418562346906636,6309
189,Holt-Torres,Hospital,186,71,13,23.86675133288476,2315
190,"Wood, Tran and Cooper",Hospital,454,59,2,0.2755402404512778,9656
191,"Pierce, Bell and Chavez",Maternity Home,268,43,32,3.4597808752729846,5248
192,King-Martinez,Maternity Home,110,69,31,16.663666785331152,3993
193,Stewart Ltd,Hospital,195,79,11,10.563629794095666,2915
194,"Tapia, Vaughn and Lee",Clinic,141,6,37,24.395507038701297,9534
195,"Washington, Hardy and Bray",Maternity Home,192,73,4,26.881041528902795,3935
196,"Carlson, Hooper and Wall",Hospital,124,90,34,7.29545971758988,2702
197,Perez-White,Clinic,246,66,16,22.92224598345764,4045
198,Erickson and Sons,Clinic,323,50,31,16.108380927552194,34
199,Williams-Brown,Maternity Home,76,81,25,11.819814511416451,2146
200,Terry-Martinez,Clinic,247,91,39,23.62472355144409,6460
201,Garcia-Smith,Hospital,135,35,8,16.99122117263551,7488
202,Harrison-Alexander,Maternity Home,461,39,8,19.094993094378193,9472
203,Sheppard LLC,Maternity Home,273,49,34,1.9613962763678061,5674
204,Wilson-Jones,Maternity Home,397,81,15,17.617802393910225,405
205,Jones-Soto,Clinic,483,58,5,9.09126702232285,4712
206,Hernandez PLC,Maternity Home,477,75,19,14.84949733930692,1925
207,Miller-Wright,Clinic,56,73,10,6.738130416194255,7622
208,"Duran, Obrien and Gibbs",Hospital,496,33,9,18.472822047955503,882
209,Rowe Group,Clinic,66,76,29,4.509318242572042,6024
210,Kerr-Evans,Clinic,123,12,40,3.774827115803673,2903
211,"Branch, Torres and Oliver",Maternity Home,369,58,37,5.733500761363628,9790
212,"Choi, Garcia and Farmer",Maternity Home,268,11,19,24.542189808435943,1246
213,"Clark, Guerrero and Moore",Maternity Home,243,87,13,1.1026647757937804,8632
214,Arnold and Sons,Clinic,355,27,46,21.914359223903062,5368
215,Ortiz Ltd,Clinic,385,36,40,1.7895768470688675,116
216,"Harrison, Johnson and Roberts",Hospital,259,66,16,17.79653143572672,4501
217,Warner-Gibson,Maternity Home,177,49,30,23.229398313644733,9471
218,"Hall, Baker and Moody",Clinic,313,72,5,7.009080585930532,297
219,"Guerrero, Peck and Coleman",Maternity Home,241,34,33,5.95881373240864,7693
220,"Walker, Hernandez and Baker",Hospital,323,43,19,8.74642599886475,2949
221,Jones and Sons,Clinic,99,9,19,21.018436923279825,8128
222,Larson-Holloway,Clinic,341,71,17,7.719314939506738,2606
223,Gonzales-Harrison,Hospital,499,26,24,15.102922855820845,6478
224,Lyons-Bender,Maternity Home,61,32,28,4.120536395726263,7922
225,"Fernandez, Kim and George",Clinic,442,26,42,13.88974855817277,1095
226,Navarro-Munoz,Clinic,407,90,37,18.779381381992486,5102
227,Davis Ltd,Clinic,71,33,22,2.2473859068955027,1075
228,"Matthews, Smith and Hubbard",Hospital,50,47,39,24.481156462127757,16
229,Johnston-Hines,Maternity Home,98,46,16,28.129333972024735,1528
230,Ruiz Ltd,Clinic,142,64,35,5.887077996341629,8243
231,Moon-White,Clinic,373,81,27,22.807039095707733,3200
232,"Graham, Olsen and Costa",Hospital,97,75,12,9.472653205119979,9796
233,Bailey-Cook,Hospital,236,78,46,20.334066159824282,7801
234,"Garcia, Martin and Jenkins",Clinic,406,96,28,9.26965441735576,1993
235,Roberts-Landry,Maternity Home,400,72,1,25.88405967370167,2954
236,"Johnson, Miller and King",Maternity Home,53,63,39,10.478531752335146,6472
237,Cordova Group,Clinic,27,90,18,25.480037872713847,5823
238,"Bryan, Smith and Booth",Clinic,66,88,23,23.007662900884064,932
239,Gutierrez-Lopez,Hospital,271,88,22,5.970084983867759,2016
240,Dean-Jimenez,Maternity Home,333,10,4,4.7928971206395214,6445
241,Wolf-Harris,Maternity Home,122,77,48,23.411710953609308,7419
242,"Anderson, Roberts and Gilmore",Hospital,444,32,11,11.770067297644658,6406
243,Martinez-Dudley,Clinic,92,81,18,28.486855760919838,2139
244,"Lloyd, Mckinney and Collins",Hospital,93,35,48,28.294153114386823,4290
245,Tran Inc,Maternity Home,59,43,7,20.83507085526955,3401
246,Gay Inc,Maternity Home,157,54,21,15.067352156206322,9280
247,Valentine-Holland,Hospital,243,82,35,5.92952250438967,8418
248,Jimenez Ltd,Clinic,269,90,37,26.483542817668447,8637
249,Hicks-Hill,Hospital,272,41,30,2.551738834769715,1903
250,Baird-Sanchez,Hospital,399,92,17,11.173503176119505,3604
251,"Thomas, Lee and Greene",Maternity Home,117,76,33,9.64466336262521,9675
252,"Suarez, Shields and Hill",Maternity Home,170,19,16,28.757021994225447,5453
253,Morgan-French,Clinic,160,55,15,3.6316662021187596,8437
254,Hoover-Campbell,Maternity Home,12,74,13,26.715484899121567,4049
255,Monroe-Carpenter,Hospital,206,27,39,13.747395498800755,805
256,"Burns, Hernandez and Ryan",Hospital,221,29,3,1.520217367675252,8044
257,Cook-Hines,Maternity Home,435,99,24,21.893103939089585,9124
258,Gibson-Morris,Clinic,296,50,23,3.116289942139249,1761
259,Pollard and Sons,Maternity Home,385,97,45,7.186421940868932,6306
260,"Reyes, Chase and Jenkins",Hospital,54,27,48,24.01189216526254,7999
261,Garner-Thornton,Maternity Home,111,14,1,4.726487068361537,8217
262,Hughes-Alvarado,Hospital,13,77,32,9.831554292871274,4396
263,"Pollard, Simpson and Johnson",Hospital,237,81,33,10.893848866160893,5345
264,"Sanford, Rivera and Garcia",Maternity Home,192,36,48,17.705196807581178,8266
265,Garcia-Lozano,Hospital,460,55,30,23.719005573694382,7882
266,Bowen Group,Clinic,327,45,2,7.001256703223024,7983
267,"Booker, Jones and Harrington",Hospital,313,69,18,6.252909289542865,7457
268,Morgan-Schwartz,Maternity Home,342,69,30,6.734887549358645,4188
269,"Miller, Murphy and Craig",Maternity Home,114,44,18,11.510195039122246,1411
270,"James, Stewart and Higgins",Hospital,487,22,5,16.099584561048964,3613
271,Brennan-Johnson,Maternity Home,149,40,5,0.5020041384003359,7340
272,Young Ltd,Clinic,232,35,8,23.43089780293684,4781
273,Bright-Francis,Maternity Home,313,58,9,27.808813920489907,4468
274,Good-Hodges,Hospital,416,67,32,25.321234775475723,5356
275,"Brennan, Wallace and Benson",Maternity Home,118,5,14,1.2118169008244801,9258
276,Williams Inc,Hospital,67,56,13,15.782690222645309,3996
277,Howard-Jordan,Maternity Home,403,61,18,24.439410627946888,6869
278,Schmidt PLC,Clinic,279,13,4,10.389022610500028,8803
279,"Sparks, Jackson and Miller",Hospital,128,90,22,26.921417599704863,7646
280,Harvey-Allen,Hospital,90,96,20,26.617702386286798,4216
281,"Thomas, Murray and King",Hospital,74,94,15,4.336965171434239,1839
282,Estrada-Nolan,Hospital,51,78,7,14.85956002687815,5649
283,Santana-Byrd,Clinic,203,60,13,0.8674577339648479,6685
284,Jones LLC,Maternity Home,368,51,34,8.527602272577955,6945
285,"Evans, Hayden and Vaughn",Clinic,436,7,41,24.374997856790277,7296
286,Bruce-Gonzalez,Maternity Home,205,6,30,29.25670410982657,3574
287,Castaneda-Rodriguez,Hospital,280,58,5,27.40836536659022,7615
288,Armstrong-Andrews,Maternity Home,41,41,1,1.3731530570558519,5700
289,"Phillips, Spence and Barrett",Hospital,207,60,31,27.809242701040166,8186
290,Smith-Grimes,Clinic,134,35,20,24.69718048765176,7153
291,"Beltran, Lozano and Mcgee",Maternity Home,452,16,19,26.04430525084697,6183
292,Parsons-Hall,Maternity Home,474,62,29,27.453320581042043,473
293,Robinson-Lee,Maternity Home,296,71,45,14.696579534663803,9349
294,Byrd-Le,Maternity Home,393,30,38,6.4154269834370155,4420
295,"Becker, Taylor and Davis",Clinic,68,82,10,0.7286201975002153,8244
296,"Lucas, Parker and Alexander",Clinic,267,16,29,0.8040932943381369,7092
297,"Diaz, Anderson and Browning",Clinic,458,94,31,19.311091542439787,9620
298,Burgess-Thompson,Clinic,124,20,11,10.184674670185997,5879
299,Buchanan LLC,Hospital,282,57,23,14.927309904657601,6661
300,"Shaw, Nelson and Martin",Hospital,206,76,30,4.0269217945744264,4456
301,Coffey-Phillips,Clinic,50,53,25,29.26784964892446,5780
302,Brock-Mcdonald,Maternity Home,172,53,16,3.98529568773295,7405
303,Taylor and Sons,Maternity Home,449,96,23,13.399709673984104,68
304,"Ramsey, Whitney and Coffey",Clinic,114,11,33,13.356270639855238,9366
305,"Diaz, Gibbs and Smith",Hospital,50,19,37,0.35829283374690657,4577
306,"Martinez, Richardson and Curry",Maternity Home,216,40,28,20.067159420415802,6057
307,Richards-Carson,Clinic,32,76,27,16.192496122958456,8453
308,Rodriguez-Hall,Maternity Home,91,78,6,14.975136043042303,1650
309,Harvey PLC,Hospital,295,19,38,24.560736666953265,677
310,Herman-Walker,Hospital,389,66,37,7.310001883775387,7224
311,Reid Group,Hospital,161,22,6,25.846794612564075,6552
312,"Turner, Ortiz and Taylor",Maternity Home,269,50,25,25.956882024194837,3940
313,Torres Group,Clinic,269,65,13,24.823183245906375,4339
314,Davis PLC,Clinic,26,47,33,10.307793473675826,6658
315,Price LLC,Maternity Home,260,48,33,4.960467451385003,9871
316,"Avery, Horton and Fernandez",Maternity Home,195,70,25,14.307795570458547,9385
317,"Newton, Moore and Perry",Maternity Home,454,59,14,7.869247643958391,666
318,Bass PLC,Maternity Home,468,90,40,1.6602282032661746,4863
319,Crosby-Ramirez,Clinic,236,83,41,8.456153359978966,9794
320,"Wood, Ramos and Sampson",Clinic,190,43,42,14.126936519150895,1910
321,Garcia-Jennings,Clinic,330,9,38,3.470792749871569,7453
322,"Winters, Newman and Brown",Hospital,187,61,9,28.335578642927462,6598
323,Lopez-Martinez,Clinic,401,19,18,19.717425317616676,188
324,Davis-Lewis,Clinic,485,95,15,4.176587862383164,8897
325,"Harper, Smith and Buchanan",Hospital,407,20,4,24.380719603610533,7691
326,Zhang PLC,Maternity Home,467,61,34,27.849840044842338,9559
327,Jones PLC,Clinic,421,86,38,7.9572437277903925,7391
328,Willis and Sons,Maternity Home,206,29,17,4.383257447576437,335
329,Schroeder-Kramer,Clinic,69,26,7,9.742017540972594,6601
330,"Smith, Garrison and Thomas",Clinic,448,35,32,24.98423910889293,7616
331,Fernandez and Sons,Maternity Home,400,38,23,5.335307396202966,356
332,Guerrero Inc,Maternity Home,47,91,20,23.402462945679822,1923
333,Smith and Sons,Maternity Home,225,20,47,21.51627152761703,4328
334,"Morris, Thompson and Williams",Hospital,21,74,2,19.575864555924785,3339
335,"Fisher, Wilson and Brown",Maternity Home,328,63,21,13.056193230523853,796
336,Strickland-Palmer,Hospital,289,19,12,11.066431458738398,190
337,Hayes and Sons,Hospital,187,86,42,2.6492134651174672,7452
338,"Williams, Logan and Camacho",Hospital,395,17,49,10.784937979321004,9006
339,"Turner, Schneider and Johnson",Clinic,48,28,27,18.095070005056073,2167
340,Boone-Simmons,Hospital,465,17,48,26.956455562770515,9872
341,Henry Group,Hospital,393,69,10,25.010423690979,2059
342,Lam LLC,Clinic,192,40,8,1.0632503341775141,6071
343,"Hernandez, Martinez and Weber",Clinic,394,53,21,4.252000565268964,4394
344,"Kelley, Nguyen and Vang",Hospital,486,86,22,25.469790545333318,9413
345,"Phillips, Wagner and Jordan",Maternity Home,267,52,13,28.185619114971765,9820
346,"Wilson, Pena and Rich",Maternity Home,178,47,48,1.7686844527398953,2381
347,"Le, Lewis and Hayes",Maternity Home,445,10,40,21.067436716599175,9592
348,Gutierrez Group,Maternity Home,58,85,12,11.035420122480378,8326
349,Perry-Davis,Clinic,224,72,17,10.992278399507516,5052
350,Edwards-Scott,Clinic,50,18,48,19.315808856519073,2710
351,Mcdaniel Group,Maternity Home,398,34,9,24.32546102870963,1280
352,Davis Inc,Maternity Home,264,88,49,8.317642771322873,553
353,Reynolds Ltd,Maternity Home,199,12,40,21.190094887609607,6332
354,"Watson, Anderson and Brown",Maternity Home,413,58,12,19.11270163235312,6873
355,"Hoffman, Santiago and Jenkins",Hospital,475,70,9,15.567887781966727,1154
356,"Pugh, Henderson and Moon",Clinic,351,8,30,18.11252988958107,6920
357,Schmitt PLC,Hospital,466,78,6,0.6397961489499623,4159
358,Bell-Lane,Hospital,65,88,25,0.22157130543515605,955
359,Moore Group,Clinic,170,64,28,16.558113144101323,5566
360,Boone LLC,Clinic,164,57,10,15.770843096525654,6869
361,"Richardson, Farmer and Andrews",Hospital,155,78,41,2.2329226392879256,236
362,Bruce-Villegas,Clinic,115,96,28,14.811587166029629,1109
363,"Austin, Day and Johnson",Clinic,492,19,29,22.750110373310378,1797
364,"Gallegos, Adams and White",Maternity Home,41,5,36,16.281953076051675,3474
365,"Farmer, Dorsey and Bell",Clinic,7,26,11,15.57666729366245,5286
366,Kane PLC,Maternity Home,487,95,21,21.565462772380556,7396
367,"Morales, Thomas and Schultz",Maternity Home,17,97,38,5.238141787898021,9583
368,Davis PLC,Clinic,166,19,26,13.77866791124811,5530
369,Bennett Group,Maternity Home,348,78,18,4.526631519413341,2212
370,Moore-Collins,Clinic,453,88,4,15.762824877840426,2642
371,Frank-Bradley,Hospital,336,26,44,17.799048830812566,3229
372,Ware and Sons,Clinic,268,54,41,3.738031718370905,927
373,Webster Inc,Maternity Home,87,52,15,2.3579044220405887,5823
374,"Miller, Ramos and Coleman",Hospital,269,77,23,5.0853349723643015,2922
375,"Ramos, Nelson and Fischer",Maternity Home,416,55,41,17.631494937107178,3828
376,Reed Inc,Hospital,338,21,6,5.769612919817704,7336
377,Gregory-Watkins,Maternity Home,384,87,43,8.329774968034108,8313
378,"Estrada, Williams and Foster",Hospital,223,95,7,21.106123790965132,966
379,"Brown, Harris and Dougherty",Clinic,150,55,46,7.525510328201057,4214
380,Duran LLC,Maternity Home,302,41,48,11.986056984721515,3720
381,Wilson-Jimenez,Clinic,301,53,15,27.872476255037082,3914
382,Thompson-James,Clinic,458,63,9,24.767398679697255,3180
383,"Hall, Hansen and Barnett",Maternity Home,165,14,30,7.738620279729029,3371
384,Jones-Hensley,Clinic,233,34,44,17.96751646191426,6819
385,Graham Group,Clinic,238,89,43,20.007552238660264,5907
386,Atkins PLC,Clinic,93,25,28,27.017221140960725,5139
387,Berry-Mckinney,Clinic,337,38,30,16.469272771498826,3092
388,Roberts-Sullivan,Maternity Home,314,77,8,16.882477639724954,9969
389,Jackson-Meza,Hospital,219,54,35,26.664571682975755,8964
390,Collier-Gillespie,Clinic,424,80,35,1.7260144799235142,4657
